識別番号,漢字,種類,異体字(表に含む),漢検級
1,亜,1. 常用漢字の通用字体,亞,準2級
2,哀,1. 常用漢字の通用字体,,3級
3,挨,1. 常用漢字の通用字体,,2級
4,愛,1. 常用漢字の通用字体,,7級
5,曖,1. 常用漢字の通用字体,,2級
6,悪,1. 常用漢字の通用字体,惡,8級
7,握,1. 常用漢字の通用字体,,4級
8,圧,1. 常用漢字の通用字体,,6級
9,扱,1. 常用漢字の通用字体,,4級
10,宛,1. 常用漢字の通用字体,,2級
11,嵐,1. 常用漢字の通用字体,,2級
12,安,1. 常用漢字の通用字体,,8級
13,案,1. 常用漢字の通用字体,,7級
14,暗,1. 常用漢字の通用字体,,8級
15,以,1. 常用漢字の通用字体,,7級
16,衣,1. 常用漢字の通用字体,,7級
17,位,1. 常用漢字の通用字体,,7級
18,囲,1. 常用漢字の通用字体,,6級
19,医,1. 常用漢字の通用字体,,8級
20,依,1. 常用漢字の通用字体,,4級
21,委,1. 常用漢字の通用字体,,8級
22,威,1. 常用漢字の通用字体,,4級
23,為,1. 常用漢字の通用字体,爲,4級
24,畏,1. 常用漢字の通用字体,,2級
25,胃,1. 常用漢字の通用字体,,5級
26,尉,1. 常用漢字の通用字体,,準2級
27,異,1. 常用漢字の通用字体,,5級
28,移,1. 常用漢字の通用字体,,6級
29,萎,1. 常用漢字の通用字体,,2級
30,偉,1. 常用漢字の通用字体,,4級
31,椅,1. 常用漢字の通用字体,,2級
32,彙,1. 常用漢字の通用字体,,2級
33,意,1. 常用漢字の通用字体,,8級
34,違,1. 常用漢字の通用字体,,4級
35,維,1. 常用漢字の通用字体,,4級
36,慰,1. 常用漢字の通用字体,,3級
37,遺,1. 常用漢字の通用字体,,5級
38,緯,1. 常用漢字の通用字体,,4級
39,域,1. 常用漢字の通用字体,,5級
40,育,1. 常用漢字の通用字体,,8級
41,一,1. 常用漢字の通用字体,,10級
42,壱,1. 常用漢字の通用字体,,4級
43,逸,1. 常用漢字の通用字体,逸,準2級
44,茨,1. 常用漢字の通用字体,,7級
45,芋,1. 常用漢字の通用字体,,4級
46,引,1. 常用漢字の通用字体,,9級
47,印,1. 常用漢字の通用字体,,7級
48,因,1. 常用漢字の通用字体,,6級
49,咽,1. 常用漢字の通用字体,,2級
50,姻,1. 常用漢字の通用字体,,準2級
51,員,1. 常用漢字の通用字体,,8級
52,院,1. 常用漢字の通用字体,,8級
53,淫,1. 常用漢字の通用字体,,2級
54,陰,1. 常用漢字の通用字体,,4級
55,飲,1. 常用漢字の通用字体,,8級
56,隠,1. 常用漢字の通用字体,,4級
57,韻,1. 常用漢字の通用字体,,準2級
58,右,1. 常用漢字の通用字体,,10級
59,宇,1. 常用漢字の通用字体,,5級
60,羽,1. 常用漢字の通用字体,,9級
61,雨,1. 常用漢字の通用字体,,10級
62,唄,1. 常用漢字の通用字体,,2級
63,鬱,1. 常用漢字の通用字体,,2級
64,畝,1. 常用漢字の通用字体,,準2級
65,浦,1. 常用漢字の通用字体,,準2級
66,運,1. 常用漢字の通用字体,,8級
67,雲,1. 常用漢字の通用字体,,9級
68,永,1. 常用漢字の通用字体,,6級
69,泳,1. 常用漢字の通用字体,,8級
70,英,1. 常用漢字の通用字体,,7級
71,映,1. 常用漢字の通用字体,,5級
72,栄,1. 常用漢字の通用字体,榮,7級
73,営,1. 常用漢字の通用字体,,6級
74,詠,1. 常用漢字の通用字体,,3級
75,影,1. 常用漢字の通用字体,,4級
76,鋭,1. 常用漢字の通用字体,,4級
77,衛,1. 常用漢字の通用字体,衞,6級
78,易,1. 常用漢字の通用字体,,6級
79,疫,1. 常用漢字の通用字体,,準2級
80,益,1. 常用漢字の通用字体,,6級
81,液,1. 常用漢字の通用字体,,6級
82,駅,1. 常用漢字の通用字体,,8級
83,悦,1. 常用漢字の通用字体,,3級
84,越,1. 常用漢字の通用字体,,4級
85,謁,1. 常用漢字の通用字体,謁,準2級
86,閲,1. 常用漢字の通用字体,,3級
87,円,1. 常用漢字の通用字体,圓,10級
88,延,1. 常用漢字の通用字体,,5級
89,沿,1. 常用漢字の通用字体,,5級
90,炎,1. 常用漢字の通用字体,,3級
91,怨,1. 常用漢字の通用字体,,2級
92,宴,1. 常用漢字の通用字体,,3級
93,媛,1. 常用漢字の通用字体,,7級
94,援,1. 常用漢字の通用字体,,4級
95,園,1. 常用漢字の通用字体,薗,9級
96,煙,1. 常用漢字の通用字体,,4級
97,猿,1. 常用漢字の通用字体,,準2級
98,遠,1. 常用漢字の通用字体,,9級
99,鉛,1. 常用漢字の通用字体,,4級
100,塩,1. 常用漢字の通用字体,,7級
101,演,1. 常用漢字の通用字体,,6級
102,縁,1. 常用漢字の通用字体,緣,4級
103,艶,1. 常用漢字の通用字体,,2級
104,汚,1. 常用漢字の通用字体,,4級
105,王,1. 常用漢字の通用字体,,10級
106,凹,1. 常用漢字の通用字体,,準2級
107,央,1. 常用漢字の通用字体,,8級
108,応,1. 常用漢字の通用字体,應,6級
109,往,1. 常用漢字の通用字体,,6級
110,押,1. 常用漢字の通用字体,,4級
111,旺,1. 常用漢字の通用字体,,2級
112,欧,1. 常用漢字の通用字体,,3級
113,殴,1. 常用漢字の通用字体,,3級
114,桜,1. 常用漢字の通用字体,櫻,6級
115,翁,1. 常用漢字の通用字体,,準2級
116,奥,1. 常用漢字の通用字体,奧,4級
117,横,1. 常用漢字の通用字体,橫,8級
118,岡,1. 常用漢字の通用字体,,7級
119,屋,1. 常用漢字の通用字体,,8級
120,億,1. 常用漢字の通用字体,,7級
121,憶,1. 常用漢字の通用字体,,4級
122,臆,1. 常用漢字の通用字体,,2級
123,虞,1. 常用漢字の通用字体,,準2級
124,乙,1. 常用漢字の通用字体,,3級
125,俺,1. 常用漢字の通用字体,,2級
126,卸,1. 常用漢字の通用字体,,3級
127,音,1. 常用漢字の通用字体,,10級
128,恩,1. 常用漢字の通用字体,,5級
129,温,1. 常用漢字の通用字体,溫,8級
130,穏,1. 常用漢字の通用字体,,3級
131,下,1. 常用漢字の通用字体,,10級
132,化,1. 常用漢字の通用字体,,8級
133,火,1. 常用漢字の通用字体,,10級
134,加,1. 常用漢字の通用字体,,7級
135,可,1. 常用漢字の通用字体,,6級
136,仮,1. 常用漢字の通用字体,,6級
137,何,1. 常用漢字の通用字体,,9級
138,花,1. 常用漢字の通用字体,,10級
139,佳,1. 常用漢字の通用字体,,3級
140,価,1. 常用漢字の通用字体,價,6級
141,果,1. 常用漢字の通用字体,,7級
142,河,1. 常用漢字の通用字体,,6級
143,苛,1. 常用漢字の通用字体,,2級
144,科,1. 常用漢字の通用字体,,9級
145,架,1. 常用漢字の通用字体,,3級
146,夏,1. 常用漢字の通用字体,,9級
147,家,1. 常用漢字の通用字体,,9級
148,荷,1. 常用漢字の通用字体,,8級
149,華,1. 常用漢字の通用字体,,3級
150,菓,1. 常用漢字の通用字体,,4級
151,貨,1. 常用漢字の通用字体,,7級
152,渦,1. 常用漢字の通用字体,,準2級
153,過,1. 常用漢字の通用字体,,6級
154,嫁,1. 常用漢字の通用字体,,3級
155,暇,1. 常用漢字の通用字体,,4級
156,禍,1. 常用漢字の通用字体,禍,準2級
157,靴,1. 常用漢字の通用字体,,準2級
158,寡,1. 常用漢字の通用字体,,準2級
159,歌,1. 常用漢字の通用字体,,9級
160,箇,1. 常用漢字の通用字体,,4級
161,稼,1. 常用漢字の通用字体,,準2級
162,課,1. 常用漢字の通用字体,,7級
163,蚊,1. 常用漢字の通用字体,,準2級
164,牙,1. 常用漢字の通用字体,,2級
165,瓦,1. 常用漢字の通用字体,,2級
166,我,1. 常用漢字の通用字体,,5級
167,画,1. 常用漢字の通用字体,,9級
168,芽,1. 常用漢字の通用字体,,7級
169,賀,1. 常用漢字の通用字体,,7級
170,雅,1. 常用漢字の通用字体,,4級
171,餓,1. 常用漢字の通用字体,,3級
172,介,1. 常用漢字の通用字体,,4級
173,回,1. 常用漢字の通用字体,,9級
174,灰,1. 常用漢字の通用字体,,5級
175,会,1. 常用漢字の通用字体,,9級
176,快,1. 常用漢字の通用字体,,6級
177,戒,1. 常用漢字の通用字体,,4級
178,改,1. 常用漢字の通用字体,,7級
179,怪,1. 常用漢字の通用字体,,3級
180,拐,1. 常用漢字の通用字体,,準2級
181,悔,1. 常用漢字の通用字体,悔,3級
182,海,1. 常用漢字の通用字体,海,9級
183,界,1. 常用漢字の通用字体,,8級
184,皆,1. 常用漢字の通用字体,,4級
185,械,1. 常用漢字の通用字体,,7級
186,絵,1. 常用漢字の通用字体,,9級
187,開,1. 常用漢字の通用字体,,8級
188,階,1. 常用漢字の通用字体,,8級
189,塊,1. 常用漢字の通用字体,,3級
190,楷,1. 常用漢字の通用字体,,2級
191,解,1. 常用漢字の通用字体,,6級
192,潰,1. 常用漢字の通用字体,,2級
193,壊,1. 常用漢字の通用字体,壞,4級
194,懐,1. 常用漢字の通用字体,懷,準2級
195,諧,1. 常用漢字の通用字体,,2級
196,貝,1. 常用漢字の通用字体,,10級
197,外,1. 常用漢字の通用字体,,9級
198,劾,1. 常用漢字の通用字体,,準2級
199,害,1. 常用漢字の通用字体,,7級
200,崖,1. 常用漢字の通用字体,,2級
201,涯,1. 常用漢字の通用字体,,準2級
202,街,1. 常用漢字の通用字体,,7級
203,慨,1. 常用漢字の通用字体,,3級
204,蓋,1. 常用漢字の通用字体,,2級
205,該,1. 常用漢字の通用字体,,3級
206,概,1. 常用漢字の通用字体,,3級
207,骸,1. 常用漢字の通用字体,,2級
208,垣,1. 常用漢字の通用字体,,準2級
209,柿,1. 常用漢字の通用字体,,2級
210,各,1. 常用漢字の通用字体,,7級
211,角,1. 常用漢字の通用字体,,9級
212,拡,1. 常用漢字の通用字体,,5級
213,革,1. 常用漢字の通用字体,,5級
214,格,1. 常用漢字の通用字体,,6級
215,核,1. 常用漢字の通用字体,,準2級
216,殻,1. 常用漢字の通用字体,,準2級
217,郭,1. 常用漢字の通用字体,,3級
218,覚,1. 常用漢字の通用字体,,7級
219,較,1. 常用漢字の通用字体,,4級
220,隔,1. 常用漢字の通用字体,,3級
221,閣,1. 常用漢字の通用字体,,5級
222,確,1. 常用漢字の通用字体,,6級
223,獲,1. 常用漢字の通用字体,,4級
224,嚇,1. 常用漢字の通用字体,,準2級
225,穫,1. 常用漢字の通用字体,,3級
226,学,1. 常用漢字の通用字体,,10級
227,岳,1. 常用漢字の通用字体,,3級
228,楽,1. 常用漢字の通用字体,樂,9級
229,額,1. 常用漢字の通用字体,,6級
230,顎,1. 常用漢字の通用字体,,2級
231,掛,1. 常用漢字の通用字体,,3級
232,潟,1. 常用漢字の通用字体,,7級
233,括,1. 常用漢字の通用字体,,準2級
234,活,1. 常用漢字の通用字体,,9級
235,喝,1. 常用漢字の通用字体,,準2級
236,渇,1. 常用漢字の通用字体,渴,準2級
237,割,1. 常用漢字の通用字体,,5級
238,葛,1. 常用漢字の通用字体,,2級
239,滑,1. 常用漢字の通用字体,,3級
240,褐,1. 常用漢字の通用字体,,準2級
241,轄,1. 常用漢字の通用字体,,準2級
242,且,1. 常用漢字の通用字体,,準2級
243,株,1. 常用漢字の通用字体,,5級
244,釜,1. 常用漢字の通用字体,,2級
245,鎌,1. 常用漢字の通用字体,,2級
246,刈,1. 常用漢字の通用字体,,4級
247,干,1. 常用漢字の通用字体,,5級
248,刊,1. 常用漢字の通用字体,,6級
249,甘,1. 常用漢字の通用字体,,4級
250,汗,1. 常用漢字の通用字体,,4級
251,缶,1. 常用漢字の通用字体,,準2級
252,完,1. 常用漢字の通用字体,,7級
253,肝,1. 常用漢字の通用字体,,3級
254,官,1. 常用漢字の通用字体,,7級
255,冠,1. 常用漢字の通用字体,,3級
256,巻,1. 常用漢字の通用字体,卷,5級
257,看,1. 常用漢字の通用字体,,5級
258,陥,1. 常用漢字の通用字体,陷,準2級
259,乾,1. 常用漢字の通用字体,,4級
260,勘,1. 常用漢字の通用字体,,3級
261,患,1. 常用漢字の通用字体,,準2級
262,貫,1. 常用漢字の通用字体,,3級
263,寒,1. 常用漢字の通用字体,,8級
264,喚,1. 常用漢字の通用字体,,3級
265,堪,1. 常用漢字の通用字体,,準2級
266,換,1. 常用漢字の通用字体,,3級
267,敢,1. 常用漢字の通用字体,,3級
268,棺,1. 常用漢字の通用字体,,準2級
269,款,1. 常用漢字の通用字体,,準2級
270,間,1. 常用漢字の通用字体,,9級
271,閑,1. 常用漢字の通用字体,,準2級
272,勧,1. 常用漢字の通用字体,,4級
273,寛,1. 常用漢字の通用字体,寬,準2級
274,幹,1. 常用漢字の通用字体,,6級
275,感,1. 常用漢字の通用字体,,8級
276,漢,1. 常用漢字の通用字体,漢,8級
277,慣,1. 常用漢字の通用字体,,6級
278,管,1. 常用漢字の通用字体,,7級
279,関,1. 常用漢字の通用字体,,7級
280,歓,1. 常用漢字の通用字体,,4級
281,監,1. 常用漢字の通用字体,,4級
282,緩,1. 常用漢字の通用字体,,3級
283,憾,1. 常用漢字の通用字体,,準2級
284,還,1. 常用漢字の通用字体,,準2級
285,館,1. 常用漢字の通用字体,,8級
286,環,1. 常用漢字の通用字体,,4級
287,簡,1. 常用漢字の通用字体,,5級
288,観,1. 常用漢字の通用字体,,7級
289,韓,1. 常用漢字の通用字体,,2級
290,艦,1. 常用漢字の通用字体,,準2級
291,鑑,1. 常用漢字の通用字体,,4級
292,丸,1. 常用漢字の通用字体,,9級
293,含,1. 常用漢字の通用字体,,4級
294,岸,1. 常用漢字の通用字体,,8級
295,岩,1. 常用漢字の通用字体,,9級
296,玩,1. 常用漢字の通用字体,,2級
297,眼,1. 常用漢字の通用字体,,6級
298,頑,1. 常用漢字の通用字体,,準2級
299,顔,1. 常用漢字の通用字体,,9級
300,願,1. 常用漢字の通用字体,,7級
301,企,1. 常用漢字の通用字体,,3級
302,伎,1. 常用漢字の通用字体,,2級
303,危,1. 常用漢字の通用字体,,5級
304,机,1. 常用漢字の通用字体,,5級
305,気,1. 常用漢字の通用字体,氣,10級
306,岐,1. 常用漢字の通用字体,,7級
307,希,1. 常用漢字の通用字体,,7級
308,忌,1. 常用漢字の通用字体,,3級
309,汽,1. 常用漢字の通用字体,,9級
310,奇,1. 常用漢字の通用字体,,4級
311,祈,1. 常用漢字の通用字体,祈,4級
312,季,1. 常用漢字の通用字体,,7級
313,紀,1. 常用漢字の通用字体,,6級
314,軌,1. 常用漢字の通用字体,,3級
315,既,1. 常用漢字の通用字体,,3級
316,記,1. 常用漢字の通用字体,,9級
317,起,1. 常用漢字の通用字体,,8級
318,飢,1. 常用漢字の通用字体,,準2級
319,鬼,1. 常用漢字の通用字体,,4級
320,帰,1. 常用漢字の通用字体,,9級
321,基,1. 常用漢字の通用字体,,6級
322,寄,1. 常用漢字の通用字体,,6級
323,規,1. 常用漢字の通用字体,,6級
324,亀,1. 常用漢字の通用字体,,2級
325,喜,1. 常用漢字の通用字体,,6級
326,幾,1. 常用漢字の通用字体,,4級
327,揮,1. 常用漢字の通用字体,,5級
328,期,1. 常用漢字の通用字体,,8級
329,棋,1. 常用漢字の通用字体,,3級
330,貴,1. 常用漢字の通用字体,,5級
331,棄,1. 常用漢字の通用字体,,3級
332,毀,1. 常用漢字の通用字体,,2級
333,旗,1. 常用漢字の通用字体,,7級
334,器,1. 常用漢字の通用字体,器,7級
335,畿,1. 常用漢字の通用字体,,2級
336,輝,1. 常用漢字の通用字体,,4級
337,機,1. 常用漢字の通用字体,,7級
338,騎,1. 常用漢字の通用字体,,3級
339,技,1. 常用漢字の通用字体,,6級
340,宜,1. 常用漢字の通用字体,,準2級
341,偽,1. 常用漢字の通用字体,僞,準2級
342,欺,1. 常用漢字の通用字体,,3級
343,義,1. 常用漢字の通用字体,,6級
344,疑,1. 常用漢字の通用字体,,5級
345,儀,1. 常用漢字の通用字体,,4級
346,戯,1. 常用漢字の通用字体,戲,4級
347,擬,1. 常用漢字の通用字体,,準2級
348,犠,1. 常用漢字の通用字体,,3級
349,議,1. 常用漢字の通用字体,,7級
350,菊,1. 常用漢字の通用字体,,3級
351,吉,1. 常用漢字の通用字体,,3級
352,喫,1. 常用漢字の通用字体,,3級
353,詰,1. 常用漢字の通用字体,,4級
354,却,1. 常用漢字の通用字体,,4級
355,客,1. 常用漢字の通用字体,,8級
356,脚,1. 常用漢字の通用字体,,4級
357,逆,1. 常用漢字の通用字体,,6級
358,虐,1. 常用漢字の通用字体,,3級
359,九,1. 常用漢字の通用字体,,10級
360,久,1. 常用漢字の通用字体,,6級
361,及,1. 常用漢字の通用字体,,4級
362,弓,1. 常用漢字の通用字体,,9級
363,丘,1. 常用漢字の通用字体,,4級
364,旧,1. 常用漢字の通用字体,,6級
365,休,1. 常用漢字の通用字体,,10級
366,吸,1. 常用漢字の通用字体,,5級
367,朽,1. 常用漢字の通用字体,,4級
368,臼,1. 常用漢字の通用字体,,2級
369,求,1. 常用漢字の通用字体,,7級
370,究,1. 常用漢字の通用字体,,8級
371,泣,1. 常用漢字の通用字体,,7級
372,急,1. 常用漢字の通用字体,,8級
373,級,1. 常用漢字の通用字体,,8級
374,糾,1. 常用漢字の通用字体,,準2級
375,宮,1. 常用漢字の通用字体,,8級
376,救,1. 常用漢字の通用字体,,6級
377,球,1. 常用漢字の通用字体,,8級
378,給,1. 常用漢字の通用字体,,7級
379,嗅,1. 常用漢字の通用字体,,2級
380,窮,1. 常用漢字の通用字体,,準2級
381,牛,1. 常用漢字の通用字体,,9級
382,去,1. 常用漢字の通用字体,,8級
383,巨,1. 常用漢字の通用字体,,4級
384,居,1. 常用漢字の通用字体,,6級
385,拒,1. 常用漢字の通用字体,,準2級
386,拠,1. 常用漢字の通用字体,,4級
387,挙,1. 常用漢字の通用字体,,7級
388,虚,1. 常用漢字の通用字体,虛,3級
389,許,1. 常用漢字の通用字体,,6級
390,距,1. 常用漢字の通用字体,,4級
391,魚,1. 常用漢字の通用字体,,9級
392,御,1. 常用漢字の通用字体,,4級
393,漁,1. 常用漢字の通用字体,,7級
394,凶,1. 常用漢字の通用字体,,4級
395,共,1. 常用漢字の通用字体,,7級
396,叫,1. 常用漢字の通用字体,,4級
397,狂,1. 常用漢字の通用字体,,4級
398,京,1. 常用漢字の通用字体,,9級
399,享,1. 常用漢字の通用字体,,準2級
400,供,1. 常用漢字の通用字体,,5級
401,協,1. 常用漢字の通用字体,,7級
402,況,1. 常用漢字の通用字体,,4級
403,峡,1. 常用漢字の通用字体,峽,3級
404,挟,1. 常用漢字の通用字体,,準2級
405,狭,1. 常用漢字の通用字体,狹,4級
406,恐,1. 常用漢字の通用字体,,4級
407,恭,1. 常用漢字の通用字体,,準2級
408,胸,1. 常用漢字の通用字体,,5級
409,脅,1. 常用漢字の通用字体,,3級
410,強,1. 常用漢字の通用字体,,9級
411,教,1. 常用漢字の通用字体,,9級
412,郷,1. 常用漢字の通用字体,,5級
413,境,1. 常用漢字の通用字体,,6級
414,橋,1. 常用漢字の通用字体,,8級
415,矯,1. 常用漢字の通用字体,,準2級
416,鏡,1. 常用漢字の通用字体,,7級
417,競,1. 常用漢字の通用字体,,7級
418,響,1. 常用漢字の通用字体,響,4級
419,驚,1. 常用漢字の通用字体,,4級
420,仰,1. 常用漢字の通用字体,,4級
421,暁,1. 常用漢字の通用字体,曉,準2級
422,業,1. 常用漢字の通用字体,,8級
423,凝,1. 常用漢字の通用字体,,3級
424,曲,1. 常用漢字の通用字体,,8級
425,局,1. 常用漢字の通用字体,,8級
426,極,1. 常用漢字の通用字体,,7級
427,玉,1. 常用漢字の通用字体,,10級
428,巾,1. 常用漢字の通用字体,,2級
429,斤,1. 常用漢字の通用字体,,3級
430,均,1. 常用漢字の通用字体,,6級
431,近,1. 常用漢字の通用字体,,9級
432,金,1. 常用漢字の通用字体,,10級
433,菌,1. 常用漢字の通用字体,,準2級
434,勤,1. 常用漢字の通用字体,勤,5級
435,琴,1. 常用漢字の通用字体,,準2級
436,筋,1. 常用漢字の通用字体,,5級
437,僅,1. 常用漢字の通用字体,,2級
438,禁,1. 常用漢字の通用字体,,6級
439,緊,1. 常用漢字の通用字体,,3級
440,錦,1. 常用漢字の通用字体,,2級
441,謹,1. 常用漢字の通用字体,謹,準2級
442,襟,1. 常用漢字の通用字体,,準2級
443,吟,1. 常用漢字の通用字体,,準2級
444,銀,1. 常用漢字の通用字体,,8級
445,区,1. 常用漢字の通用字体,,8級
446,句,1. 常用漢字の通用字体,,6級
447,苦,1. 常用漢字の通用字体,,8級
448,駆,1. 常用漢字の通用字体,駈,4級
449,具,1. 常用漢字の通用字体,,8級
450,惧,1. 常用漢字の通用字体,,2級
451,愚,1. 常用漢字の通用字体,,3級
452,空,1. 常用漢字の通用字体,,10級
453,偶,1. 常用漢字の通用字体,,3級
454,遇,1. 常用漢字の通用字体,,3級
455,隅,1. 常用漢字の通用字体,,準2級
456,串,1. 常用漢字の通用字体,,2級
457,屈,1. 常用漢字の通用字体,,4級
458,掘,1. 常用漢字の通用字体,,4級
459,窟,1. 常用漢字の通用字体,,2級
460,熊,1. 常用漢字の通用字体,,7級
461,繰,1. 常用漢字の通用字体,,4級
462,君,1. 常用漢字の通用字体,,8級
463,訓,1. 常用漢字の通用字体,,7級
464,勲,1. 常用漢字の通用字体,勳,準2級
465,薫,1. 常用漢字の通用字体,薰,準2級
466,軍,1. 常用漢字の通用字体,,7級
467,郡,1. 常用漢字の通用字体,,7級
468,群,1. 常用漢字の通用字体,,7級
469,兄,1. 常用漢字の通用字体,,9級
470,刑,1. 常用漢字の通用字体,,3級
471,形,1. 常用漢字の通用字体,,9級
472,系,1. 常用漢字の通用字体,,5級
473,径,1. 常用漢字の通用字体,,7級
474,茎,1. 常用漢字の通用字体,,準2級
475,係,1. 常用漢字の通用字体,,8級
476,型,1. 常用漢字の通用字体,,6級
477,契,1. 常用漢字の通用字体,,3級
478,計,1. 常用漢字の通用字体,,9級
479,恵,1. 常用漢字の通用字体,惠,4級
480,啓,1. 常用漢字の通用字体,,3級
481,掲,1. 常用漢字の通用字体,揭,3級
482,渓,1. 常用漢字の通用字体,,準2級
483,経,1. 常用漢字の通用字体,,6級
484,蛍,1. 常用漢字の通用字体,,準2級
485,敬,1. 常用漢字の通用字体,,5級
486,景,1. 常用漢字の通用字体,,7級
487,軽,1. 常用漢字の通用字体,,8級
488,傾,1. 常用漢字の通用字体,,4級
489,携,1. 常用漢字の通用字体,,3級
490,継,1. 常用漢字の通用字体,,4級
491,詣,1. 常用漢字の通用字体,,2級
492,慶,1. 常用漢字の通用字体,,準2級
493,憬,1. 常用漢字の通用字体,,2級
494,稽,1. 常用漢字の通用字体,,2級
495,憩,1. 常用漢字の通用字体,,3級
496,警,1. 常用漢字の通用字体,,5級
497,鶏,1. 常用漢字の通用字体,鷄,3級
498,芸,1. 常用漢字の通用字体,藝,7級
499,迎,1. 常用漢字の通用字体,,4級
500,鯨,1. 常用漢字の通用字体,,3級
501,隙,1. 常用漢字の通用字体,,2級
502,劇,1. 常用漢字の通用字体,,5級
503,撃,1. 常用漢字の通用字体,擊,4級
504,激,1. 常用漢字の通用字体,,5級
505,桁,1. 常用漢字の通用字体,,2級
506,欠,1. 常用漢字の通用字体,,7級
507,穴,1. 常用漢字の通用字体,,5級
508,血,1. 常用漢字の通用字体,,8級
509,決,1. 常用漢字の通用字体,,8級
510,結,1. 常用漢字の通用字体,,7級
511,傑,1. 常用漢字の通用字体,,準2級
512,潔,1. 常用漢字の通用字体,,6級
513,月,1. 常用漢字の通用字体,,10級
514,犬,1. 常用漢字の通用字体,,10級
515,件,1. 常用漢字の通用字体,,6級
516,見,1. 常用漢字の通用字体,,10級
517,券,1. 常用漢字の通用字体,,5級
518,肩,1. 常用漢字の通用字体,,4級
519,建,1. 常用漢字の通用字体,,7級
520,研,1. 常用漢字の通用字体,,8級
521,県,1. 常用漢字の通用字体,縣,8級
522,倹,1. 常用漢字の通用字体,儉,3級
523,兼,1. 常用漢字の通用字体,,4級
524,剣,1. 常用漢字の通用字体,劍,4級
525,拳,1. 常用漢字の通用字体,,2級
526,軒,1. 常用漢字の通用字体,,4級
527,健,1. 常用漢字の通用字体,,7級
