識別番号,漢字,漢検級,異体字
386,拠,4級,
390,距,4級,
394,凶,4級,
396,叫,4級,
406,恐,4級,
402,況,4級,
397,狂,4級,
405,狭,4級,
418,響,4級,
419,驚,4級,
420,仰,4級,
448,駆,4級,
457,屈,4級,
458,掘,4級,
461,繰,4級,
488,傾,4級,
479,恵,4級,
490,継,4級,
499,迎,4級,
503,撃,4級,
523,兼,4級,
524,剣,4級,
529,圏,4級,
530,堅,4級,
518,肩,4級,
526,軒,4級,
535,遣,4級,
547,玄,4級,
567,枯,4級,
572,誇,4級,
573,鼓,4級,
577,互,4級,
392,御,4級,
615,恒,4級,
606,抗,4級,
607,攻,4級,
608,更,4級,
644,稿,4級,
619,荒,4級,
638,項,4級,
656,豪,4級,
2004,腰,4級,
668,込,4級,
675,婚,4級,
690,鎖,4級,
701,彩,4級,
713,歳,4級,
714,載,4級,
719,剤,4級,
732,咲,4級,
749,惨,4級,
774,伺,4級,
778,刺,4級,
770,旨,4級,
793,紫,4級,
791,脂,4級,
802,雌,4級,
834,執,4級,
840,芝,4級,
849,斜,4級,
850,煮,4級,
858,釈,4級,
862,寂,4級,
866,朱,4級,
868,狩,4級,
875,趣,4級,
880,需,4級,
887,秀,4級,
886,舟,4級,
906,襲,4級,
911,柔,4級,
916,獣,4級,
931,瞬,4級,
932,旬,4級,
934,盾,4級,
933,巡,4級,
962,召,4級,
964,床,4級,
972,沼,4級,
979,称,4級,
985,紹,4級,
1000,詳,4級,
1010,丈,4級,
1021,畳,4級,
1034,飾,4級,
1033,殖,4級,
1035,触,4級,
1048,侵,4級,
1063,寝,4級,
1064,慎,4級,
1054,振,4級,
1055,浸,4級,
1068,薪,4級,
1067,震,4級,
1077,尋,4級,
1073,尽,4級,
1076,陣,4級,
1082,吹,4級,
1414,澄,4級,
1103,是,4級,
1112,姓,4級,
1113,征,4級,
1150,跡,4級,
1169,占,4級,
1177,扇,4級,
1195,鮮,4級,
1213,訴,4級,
1242,僧,4級,
1250,燥,4級,
1252,騒,4級,
1259,贈,4級,
1261,即,4級,
1271,俗,4級,
1296,耐,4級,
1306,替,4級,
1322,拓,4級,
1320,沢,4級,
1326,濁,4級,
1329,脱,4級,
1333,丹,4級,
1342,嘆,4級,
1340,淡,4級,
1343,端,4級,
1351,弾,4級,
1359,恥,4級,
1360,致,4級,
1361,遅,4級,
1369,蓄,4級,
1411,徴,4級,
1410,跳,4級,
1421,沈,4級,
1422,珍,4級,
1453,堤,4級,
1443,抵,4級,
1462,摘,4級,
1463,滴,4級,
1477,添,4級,
1482,殿,4級,
1485,吐,4級,
1490,渡,4級,
1488,途,4級,
1494,奴,4級,
1497,怒,4級,
1507,倒,4級,
1509,唐,4級,
1518,塔,4級,
1511,桃,4級,
1516,盗,4級,
1505,到,4級,
1529,踏,4級,
1506,逃,4級,
1513,透,4級,
1534,闘,4級,
1538,胴,4級,
1547,峠,4級,
1559,突,4級,
1566,曇,4級,
1565,鈍,4級,
1579,弐,4級,
1598,悩,4級,
1603,濃,4級,
1613,杯,4級,
1621,輩,4級,
1632,拍,4級,
1633,泊,4級,
1638,薄,4級,
1634,迫,4級,
1642,爆,4級,
1650,髪,4級,
1653,罰,4級,
1652,抜,4級,
1673,搬,4級,
1677,繁,4級,
1669,般,4級,
1670,販,4級,
1676,範,4級,
1682,盤,4級,
1688,彼,4級,
1694,疲,4級,
1696,被,4級,
1702,避,4級,
1703,尾,4級,
1707,微,4級,
1711,匹,4級,
1727,描,4級,
1730,浜,4級,
1734,敏,4級,
1743,怖,4級,
1755,敷,4級,
1753,普,4級,
1749,浮,4級,
1754,腐,4級,
1756,膚,4級,
1757,賦,4級,
1762,舞,4級,
1768,幅,4級,
1774,払,4級,
1781,噴,4級,
1793,柄,4級,
1802,壁,4級,
1822,舗,4級,
1820,捕,4級,
1842,峰,4級,
1835,抱,4級,
1843,砲,4級,
1866,傍,4級,
1855,坊,4級,
1867,帽,4級,
1854,忙,4級,
1862,冒,4級,
1860,肪,4級,
1889,凡,4級,
1890,盆,4級,
1908,慢,4級,
1909,漫,4級,
1917,妙,4級,
1919,眠,4級,
1920,矛,4級,
1924,霧,4級,
1925,娘,4級,
1939,茂,4級,
1945,猛,4級,
1946,網,4級,
1948,黙,4級,
1950,紋,4級,
1961,躍,4級,
1981,雄,4級,
1986,与,4級,
1989,誉,4級,
2003,溶,4級,
2011,謡,4級,
2007,踊,4級,
2018,翼,4級,
2024,頼,4級,
2023,雷,4級,
2025,絡,4級,
2034,欄,4級,
2043,離,4級,
2053,粒,4級,
2059,慮,4級,
2071,療,4級,
2080,隣,4級,
2083,涙,4級,
2096,隷,4級,
2098,麗,4級,
2097,齢,4級,
2099,暦,4級,
2102,劣,4級,
2103,烈,4級,
2105,恋,4級,
2114,露,4級,
2118,郎,4級,
2133,惑,4級,
2136,腕,4級,
2,哀,3級,
36,慰,3級,
74,詠,3級,
83,悦,3級,
86,閲,3級,
92,宴,3級,
90,炎,3級,
112,欧,3級,
113,殴,3級,
124,乙,3級,
126,卸,3級,
130,穏,3級,
139,佳,3級,
154,嫁,3級,
145,架,3級,
149,華,3級,
171,餓,3級,
189,塊,3級,
179,怪,3級,
181,悔,3級,
203,慨,3級,
206,概,3級,
205,該,3級,
225,穫,3級,
217,郭,3級,
220,隔,3級,
227,岳,3級,
231,掛,3級,
239,滑,3級,
255,冠,3級,
260,勘,3級,
264,喚,3級,
266,換,3級,
267,敢,3級,
282,緩,3級,
253,肝,3級,
262,貫,3級,
301,企,3級,
308,忌,3級,
315,既,3級,
329,棋,3級,
331,棄,3級,
314,軌,3級,
338,騎,3級,
342,欺,3級,
348,犠,3級,
350,菊,3級,
351,吉,3級,
352,喫,3級,
358,虐,3級,
388,虚,3級,
403,峡,3級,
409,脅,3級,
423,凝,3級,
429,斤,3級,
439,緊,3級,
451,愚,3級,
453,偶,3級,
454,遇,3級,
1230,桑,3級,
470,刑,3級,
480,啓,3級,
477,契,3級,
495,憩,3級,
481,掲,3級,
489,携,3級,
497,鶏,3級,
500,鯨,3級,
522,倹,3級,
538,賢,3級,
546,幻,3級,
564,孤,3級,
565,弧,3級,
571,雇,3級,
575,顧,3級,
581,娯,3級,
582,悟,3級,
604,坑,3級,
591,孔,3級,
593,巧,3級,
634,慌,3級,
611,拘,3級,
630,控,3級,
595,甲,3級,
636,硬,3級,
637,絞,3級,
642,綱,3級,
620,郊,3級,
643,酵,3級,
657,克,3級,
665,獄,3級,
680,墾,3級,
673,恨,3級,
678,紺,3級,
679,魂,3級,
710,債,3級,
711,催,3級,
724,削,3級,
730,搾,3級,
731,錯,3級,
740,撮,3級,
741,擦,3級,
758,暫,3級,
787,施,3級,
782,祉,3級,
805,諮,3級,
815,侍,3級,
820,慈,3級,
828,軸,3級,
835,湿,3級,
833,疾,3級,
848,赦,3級,
853,邪,3級,
870,殊,3級,
876,寿,3級,
941,潤,3級,
942,遵,3級,
957,徐,3級,
963,匠,3級,
988,掌,3級,
970,昇,3級,
989,晶,3級,
991,焦,3級,
1004,衝,3級,
1008,鐘,3級,
1011,冗,3級,
1025,嬢,3級,
1027,譲,3級,
1026,錠,3級,
1036,嘱,3級,
1039,辱,3級,
1043,伸,3級,
1066,審,3級,
1047,辛,3級,
1084,炊,3級,
1086,粋,3級,
1087,衰,3級,
1090,遂,3級,
1089,酔,3級,
1093,随,3級,
1094,髄,3級,
1102,瀬,3級,
1119,牲,3級,
1134,請,3級,
1146,隻,3級,
1147,惜,3級,
1139,斥,3級,
1153,籍,3級,
1161,摂,3級,
1189,潜,3級,
1203,繕,3級,
1209,措,3級,
1216,礎,3級,
1210,粗,3級,
1205,阻,3級,
1217,双,3級,
1232,掃,3級,
1240,葬,3級,
1246,遭,3級,
1257,憎,3級,
1264,促,3級,
1274,賊,3級,
1298,怠,3級,
1309,滞,3級,
1299,胎,3級,
1304,袋,3級,
1305,逮,3級,
1317,滝,3級,
1321,卓,3級,
1319,択,3級,
1323,託,3級,
1325,諾,3級,
1330,奪,3級,
1338,胆,3級,
1346,鍛,3級,
1354,壇,3級,
1363,稚,3級,
1367,畜,3級,
1372,窒,3級,
1382,抽,3級,
1388,鋳,3級,
1389,駐,3級,
1401,彫,3級,
1416,聴,3級,
1408,超,3級,
1426,鎮,3級,
1424,陳,3級,
1429,墜,3級,
1447,帝,3級,
1457,締,3級,
1448,訂,3級,
1468,哲,3級,
1491,塗,3級,
1484,斗,3級,
1508,凍,3級,
1522,痘,3級,
1517,陶,3級,
1548,匿,3級,
1553,篤,3級,
1562,豚,3級,
953,如,3級,
1586,尿,3級,
1596,粘,3級,
1610,婆,3級,
1618,排,3級,
1626,陪,3級,
1641,縛,3級,
1651,伐,3級,
1661,伴,3級,
1659,帆,3級,
1668,畔,3級,
1678,藩,3級,
1681,蛮,3級,
1692,卑,3級,
1713,泌,3級,
1700,碑,3級,
1715,姫,3級,
1722,漂,3級,
1724,苗,3級,
1751,符,3級,
1748,赴,3級,
1763,封,3級,
1765,伏,3級,
1773,覆,3級,
1782,墳,3級,
1779,紛,3級,
1804,癖,3級,
1092,穂,3級,
1824,募,3級,
1826,慕,3級,
1828,簿,3級,
1841,倣,3級,
1833,奉,3級,
1844,崩,3級,
1851,縫,3級,
1839,胞,3級,
1831,芳,3級,
1832,邦,3級,
1849,飽,3級,
1853,乏,3級,
1856,妨,3級,
1859,房,3級,
1861,某,3級,
1872,膨,3級,
1873,謀,3級,
1881,墨,3級,
1883,没,3級,
1888,翻,3級,
1894,魔,3級,
1899,埋,3級,
1901,膜,3級,
1903,又,3級,
1912,魅,3級,
1125,婿,3級,
1934,滅,3級,
1935,免,3級,
1974,幽,3級,
1983,憂,3級,
1982,誘,3級,
1999,揚,3級,
2000,揺,3級,
2010,擁,3級,
2013,抑,3級,
2020,裸,3級,
2032,濫,3級,
2035,吏,3級,
2054,隆,3級,
2060,了,3級,
2065,猟,3級,
2073,糧,3級,
2066,陵,3級,
2077,厘,3級,
2090,励,3級,
2094,零,3級,
2095,霊,3級,
2104,裂,3級,
2107,廉,3級,
2109,錬,3級,
2111,炉,3級,
2121,廊,3級,
2122,楼,3級,
2120,浪,3級,
2123,漏,3級,
2135,湾,3級,
1,亜,準2級,
26,尉,準2級,
43,逸,準2級,
50,姻,準2級,
57,韻,準2級,
152,渦,準2級,
65,浦,準2級,
79,疫,準2級,
85,謁,準2級,
97,猿,準2級,
106,凹,準2級,
115,翁,準2級,
158,寡,準2級,
156,禍,準2級,
161,稼,準2級,
163,蚊,準2級,
194,懐,準2級,
180,拐,準2級,
198,劾,準2級,
201,涯,準2級,
208,垣,準2級,
224,嚇,準2級,
215,核,準2級,
216,殻,準2級,
235,喝,準2級,
233,括,準2級,
236,渇,準2級,
240,褐,準2級,
241,轄,準2級,
242,且,準2級,
265,堪,準2級,
273,寛,準2級,
261,患,準2級,
283,憾,準2級,
268,棺,準2級,
269,款,準2級,
251,缶,準2級,
290,艦,準2級,
284,還,準2級,
271,閑,準2級,
258,陥,準2級,
298,頑,準2級,
318,飢,準2級,
341,偽,準2級,
340,宜,準2級,
347,擬,準2級,
380,窮,準2級,
374,糾,準2級,
385,拒,準2級,
399,享,準2級,
407,恭,準2級,
404,挟,準2級,
415,矯,準2級,
421,暁,準2級,
435,琴,準2級,
433,菌,準2級,
442,襟,準2級,
441,謹,準2級,
443,吟,準2級,
123,虞,準2級,
455,隅,準2級,
157,靴,準2級,
464,勲,準2級,
465,薫,準2級,
492,慶,準2級,
482,渓,準2級,
474,茎,準2級,
484,蛍,準2級,
511,傑,準2級,
532,嫌,準2級,
544,懸,準2級,
533,献,準2級,
539,謙,準2級,
542,顕,準2級,
549,弦,準2級,
579,呉,準2級,
583,碁,準2級,
613,侯,準2級,
601,江,準2級,
616,洪,準2級,
639,溝,準2級,
612,肯,準2級,
646,衡,準2級,
626,貢,準2級,
649,購,準2級,
654,剛,準2級,
653,拷,準2級,
664,酷,準2級,
681,懇,準2級,
672,昆,準2級,
687,唆,準2級,
689,詐,準2級,
699,宰,準2級,
700,栽,準2級,
698,砕,準2級,
705,斎,準2級,
727,索,準2級,
751,傘,準2級,
747,桟,準2級,
796,嗣,準2級,
783,肢,準2級,
804,賜,準2級,
824,璽,準2級,
837,漆,準2級,
851,遮,準2級,
854,蛇,準2級,
859,爵,準2級,
857,酌,準2級,
871,珠,準2級,
881,儒,準2級,
884,囚,準2級,
902,愁,準2級,
892,臭,準2級,
903,酬,準2級,
904,醜,準2級,
909,充,準2級,
908,汁,準2級,
914,渋,準2級,
915,銃,準2級,
918,叔,準2級,
921,淑,準2級,
922,粛,準2級,
924,塾,準2級,
929,俊,準2級,
935,准,準2級,
938,循,準2級,
936,殉,準2級,
947,庶,準2級,
950,緒,準2級,
956,叙,準2級,
1006,償,準2級,
960,升,準2級,
998,奨,準2級,
974,宵,準2級,
967,尚,準2級,
1001,彰,準2級,
965,抄,準2級,
983,渉,準2級,
977,症,準2級,
992,硝,準2級,
1007,礁,準2級,
978,祥,準2級,
993,粧,準2級,
966,肖,準2級,
986,訟,準2級,
994,詔,準2級,
1017,剰,準2級,
1024,壌,準2級,
1016,浄,準2級,
1028,醸,準2級,
1052,唇,準2級,
1053,娠,準2級,
1059,紳,準2級,
1062,診,準2級,
1071,刃,準2級,
1075,甚,準2級,
1074,迅,準2級,
729,酢,準2級,
1085,帥,準2級,
1091,睡,準2級,
1096,崇,準2級,
1095,枢,準2級,
1098,据,準2級,
1099,杉,準2級,
64,畝,準2級,
1132,誓,準2級,
1122,逝,準2級,
1116,斉,準2級,
1143,析,準2級,
1156,拙,準2級,
1157,窃,準2級,
1168,仙,準2級,
1178,栓,準2級,
1179,旋,準2級,
1194,繊,準2級,
1193,薦,準2級,
1186,践,準2級,
1191,遷,準2級,
1201,漸,準2級,
1200,禅,準2級,
1214,塑,準2級,
1212,疎,準2級,
1207,租,準2級,
1238,喪,準2級,
1218,壮,準2級,
1228,捜,準2級,
1229,挿,準2級,
1233,曹,準2級,
1247,槽,準2級,
1224,荘,準2級,
1253,藻,準2級,
1251,霜,準2級,
1290,堕,準2級,
1288,妥,準2級,
1291,惰,準2級,
1292,駄,準2級,
1302,泰,準2級,
1324,濯,準2級,
1327,但,準2級,
1331,棚,準2級,
1362,痴,準2級,
1368,逐,準2級,
1371,秩,準2級,
1375,嫡,準2級,
1386,衷,準2級,
1393,弔,準2級,
1417,懲,準2級,
1398,挑,準2級,
1402,眺,準2級,
1419,勅,準2級,
1423,朕,準2級,
1050,津,準2級,
1432,塚,準2級,
1433,漬,準2級,
1434,坪,準2級,
1403,釣,準2級,
1445,亭,準2級,
1452,偵,準2級,
1446,貞,準2級,
1438,呈,準2級,
1439,廷,準2級,
1456,艇,準2級,
1450,逓,準2級,
1444,邸,準2級,
1459,泥,準2級,
1470,徹,準2級,
1471,撤,準2級,
1467,迭,準2級,
1515,悼,準2級,
1519,搭,準2級,
1520,棟,準2級,
1526,筒,準2級,
1532,謄,準2級,
1535,騰,準2級,
1537,洞,準2級,
1551,督,準2級,
1558,凸,準2級,
1561,屯,準2級,
1575,軟,準2級,
1578,尼,準2級,
1588,妊,準2級,
1589,忍,準2級,
1591,寧,準2級,
1728,猫,準2級,
1604,把,準2級,
1608,覇,準2級,
1620,廃,準2級,
1625,培,準2級,
1627,媒,準2級,
1629,賠,準2級,
1631,伯,準2級,
1636,舶,準2級,
1640,漠,準2級,
1646,肌,準2級,
1648,鉢,準2級,
1654,閥,準2級,
1674,煩,準2級,
1675,頒,準2級,
1685,妃,準2級,
1698,扉,準2級,
1689,披,準2級,
1701,罷,準2級,
1732,賓,準2級,
1733,頻,準2級,
1735,瓶,準2級,
1741,扶,準2級,
1758,譜,準2級,
1745,附,準2級,
1759,侮,準2級,
1775,沸,準2級,
1783,憤,準2級,
1780,雰,準2級,
1788,丙,準2級,
1791,併,準2級,
1796,塀,準2級,
1797,幣,準2級,
1798,弊,準2級,
1811,偏,準2級,
1812,遍,準2級,
1840,俸,準2級,
1838,泡,準2級,
1850,褒,準2級,
1863,剖,準2級,
1864,紡,準2級,
1880,僕,準2級,
1882,撲,準2級,
1877,朴,準2級,
1885,堀,準2級,
1887,奔,準2級,
1892,摩,準2級,
1893,磨,準2級,
1891,麻,準2級,
1905,抹,準2級,
541,繭,準2級,
1913,岬,準2級,
1932,銘,準2級,
1942,妄,準2級,
1943,盲,準2級,
1944,耗,準2級,
2091,戻,準2級,
1956,厄,準2級,
2049,柳,準2級,
1966,愉,準2級,
1969,癒,準2級,
1967,諭,準2級,
1970,唯,準2級,
1975,悠,準2級,
1978,猶,準2級,
1979,裕,準2級,
1984,融,準2級,
1998,庸,準2級,
2008,窯,準2級,
2021,羅,準2級,
2027,酪,準2級,
2041,履,準2級,
2039,痢,準2級,
2055,硫,準2級,
2052,竜,準2級,
2058,虜,準2級,
2068,僚,準2級,
2070,寮,準2級,
2064,涼,準2級,
2078,倫,準2級,
2085,塁,準2級,
2084,累,準2級,
2093,鈴,準2級,
2131,賄,準2級,
2134,枠,準2級,
3,挨,2級,
10,宛,2級,
1962,闇,2級,
31,椅,2級,
24,畏,2級,
29,萎,2級,
49,咽,2級,
53,淫,2級,
368,臼,2級,
62,唄,2級,
823,餌,2級,
91,怨,2級,
103,艶,2級,
111,旺,2級,
122,臆,2級,
125,俺,2級,
143,苛,2級,
164,牙,2級,
200,崖,2級,
204,蓋,2級,
207,骸,2級,
209,柿,2級,
230,顎,2級,
238,葛,2級,
244,釜,2級,
245,鎌,2級,
165,瓦,2級,
289,韓,2級,
296,玩,2級,
302,伎,2級,
335,畿,2級,
324,亀,2級,
437,僅,2級,
428,巾,2級,
440,錦,2級,
667,駒,2級,
456,串,2級,
459,窟,2級,
494,稽,2級,
491,詣,2級,
501,隙,2級,
505,桁,2級,
525,拳,2級,
540,鍵,2級,
553,舷,2級,
562,股,2級,
563,虎,2級,
650,乞,2級,
590,勾,2級,
633,喉,2級,
631,梗,2級,
669,頃,2級,
677,痕,2級,
684,沙,2級,
692,挫,2級,
712,塞,2級,
697,采,2級,
726,柵,2級,
737,拶,2級,
757,斬,2級,
836,嫉,2級,
873,腫,2級,
878,呪,2級,
905,蹴,2級,
1030,拭,2級,
1040,尻,2級,
1045,芯,2級,
1078,腎,2級,
1079,須,2級,
1100,裾,2級,
1121,凄,2級,
1136,醒,2級,
1148,戚,2級,
1145,脊,2級,
1182,煎,2級,
1183,羨,2級,
1184,腺,2級,
1185,詮,2級,
1202,膳,2級,
1234,曽,2級,
1204,狙,2級,
1215,遡,2級,
1235,爽,2級,
1239,痩,2級,
1267,捉,2級,
894,袖,2級,
1283,遜,2級,
1286,汰,2級,
1289,唾,2級,
1303,堆,2級,
1311,戴,2級,
1332,誰,2級,
1334,旦,2級,
1344,綻,2級,
1387,酎,2級,
1420,捗,2級,
1428,椎,2級,
192,潰,2級,
1435,爪,2級,
1436,鶴,2級,
1458,諦,2級,
1466,溺,2級,
1407,貼,2級,
1486,妬,2級,
1492,賭,2級,
1533,藤,2級,
1003,憧,2級,
1546,瞳,2級,
1563,頓,2級,
1568,那,2級,
1572,謎,2級,
1573,鍋,2級,
1580,匂,2級,
1582,虹,2級,
1595,捻,2級,
1611,罵,2級,
1644,箸,2級,
1671,斑,2級,
1657,氾,2級,
1660,汎,2級,
1704,眉,2級,
1709,膝,2級,
1710,肘,2級,
1799,蔽,2級,
1806,蔑,2級,
1847,蜂,2級,
1870,貌,2級,
1879,睦,2級,
1884,勃,2級,
1898,昧,2級,
1902,枕,2級,
1915,蜜,2級,
1930,冥,2級,
1938,麺,2級,
1800,餅,2級,
1952,冶,2級,
1955,弥,2級,
1977,湧,2級,
1994,妖,2級,
2014,沃,2級,
11,嵐,2級,
2033,藍,2級,
2042,璃,2級,
2056,侶,2級,
2072,瞭,2級,
2082,瑠,2級,
2110,呂,2級,
2112,賂,2級,
2117,弄,2級,
2127,麓,2級,
2132,脇,2級,
1567,丼,2級,
655,傲,2級,
736,刹,2級,
1819,哺,2級,
1965,喩,2級,
379,嗅,2級,
1412,嘲,2級,
332,毀,2級,
32,彙,2級,
789,恣,2級,
450,惧,2級,
2047,慄,2級,
493,憬,2級,
2019,拉,2級,
803,摯,2級,
5,曖,2級,
190,楷,2級,
63,鬱,2級,
1803,璧,2級,
2006,瘍,2級,
1187,箋,2級,
2124,籠,2級,
1365,緻,2級,
896,羞,2級,
1746,訃,2級,
195,諧,2級,
1564,貪,2級,
1248,踪,2級,
2028,辣,2級,
574,錮,2級,
1635,剝,2級,剥
1479,塡,2級,填
1874,頰,2級,頬
830,叱,2級,
