漢字,区分
無,常用漢字の通用字体
夢,常用漢字の通用字体
霧,常用漢字の通用字体
娘,常用漢字の通用字体
名,常用漢字の通用字体
命,常用漢字の通用字体
明,常用漢字の通用字体
迷,常用漢字の通用字体
冥,常用漢字の通用字体
盟,常用漢字の通用字体
銘,常用漢字の通用字体
鳴,常用漢字の通用字体
滅,常用漢字の通用字体
免,常用漢字の通用字体
面,常用漢字の通用字体
綿,常用漢字の通用字体
麺,常用漢字の通用字体
茂,常用漢字の通用字体
模,常用漢字の通用字体
毛,常用漢字の通用字体
妄,常用漢字の通用字体
盲,常用漢字の通用字体
耗,常用漢字の通用字体
猛,常用漢字の通用字体
網,常用漢字の通用字体
目,常用漢字の通用字体
黙,常用漢字の通用字体
門,常用漢字の通用字体
紋,常用漢字の通用字体
問,常用漢字の通用字体
冶,常用漢字の通用字体
夜,常用漢字の通用字体
野,常用漢字の通用字体
弥,常用漢字の通用字体
厄,常用漢字の通用字体
役,常用漢字の通用字体
約,常用漢字の通用字体
訳,常用漢字の通用字体
薬,常用漢字の通用字体
躍,常用漢字の通用字体
闇,常用漢字の通用字体
由,常用漢字の通用字体
油,常用漢字の通用字体
喩,常用漢字の通用字体
愉,常用漢字の通用字体
諭,常用漢字の通用字体
輸,常用漢字の通用字体
癒,常用漢字の通用字体
唯,常用漢字の通用字体
友,常用漢字の通用字体
有,常用漢字の通用字体
勇,常用漢字の通用字体
幽,常用漢字の通用字体
悠,常用漢字の通用字体
郵,常用漢字の通用字体
湧,常用漢字の通用字体
猶,常用漢字の通用字体
裕,常用漢字の通用字体
遊,常用漢字の通用字体
雄,常用漢字の通用字体
誘,常用漢字の通用字体
憂,常用漢字の通用字体
融,常用漢字の通用字体
優,常用漢字の通用字体
与,常用漢字の通用字体
予,常用漢字の通用字体
余,常用漢字の通用字体
誉,常用漢字の通用字体
預,常用漢字の通用字体
幼,常用漢字の通用字体
用,常用漢字の通用字体
羊,常用漢字の通用字体
妖,常用漢字の通用字体
洋,常用漢字の通用字体
要,常用漢字の通用字体
容,常用漢字の通用字体
庸,常用漢字の通用字体
揚,常用漢字の通用字体
揺,常用漢字の通用字体
葉,常用漢字の通用字体
陽,常用漢字の通用字体
溶,常用漢字の通用字体
腰,常用漢字の通用字体
様,常用漢字の通用字体
瘍,常用漢字の通用字体
踊,常用漢字の通用字体
窯,常用漢字の通用字体
養,常用漢字の通用字体
擁,常用漢字の通用字体
謡,常用漢字の通用字体
曜,常用漢字の通用字体
抑,常用漢字の通用字体
沃,常用漢字の通用字体
浴,常用漢字の通用字体
欲,常用漢字の通用字体
翌,常用漢字の通用字体
翼,常用漢字の通用字体
拉,常用漢字の通用字体
裸,常用漢字の通用字体
羅,常用漢字の通用字体
来,常用漢字の通用字体
雷,常用漢字の通用字体
頼,常用漢字の通用字体
絡,常用漢字の通用字体
落,常用漢字の通用字体
酪,常用漢字の通用字体
辣,常用漢字の通用字体
乱,常用漢字の通用字体
卵,常用漢字の通用字体
覧,常用漢字の通用字体
濫,常用漢字の通用字体
藍,常用漢字の通用字体
欄,常用漢字の通用字体
吏,常用漢字の通用字体
利,常用漢字の通用字体
里,常用漢字の通用字体
理,常用漢字の通用字体
痢,常用漢字の通用字体
裏,常用漢字の通用字体
履,常用漢字の通用字体
璃,常用漢字の通用字体
離,常用漢字の通用字体
陸,常用漢字の通用字体
立,常用漢字の通用字体
律,常用漢字の通用字体
慄,常用漢字の通用字体
略,常用漢字の通用字体
柳,常用漢字の通用字体
流,常用漢字の通用字体
留,常用漢字の通用字体
竜,常用漢字の通用字体
粒,常用漢字の通用字体
隆,常用漢字の通用字体
硫,常用漢字の通用字体
侶,常用漢字の通用字体
旅,常用漢字の通用字体
虜,常用漢字の通用字体
慮,常用漢字の通用字体
了,常用漢字の通用字体
両,常用漢字の通用字体
良,常用漢字の通用字体
料,常用漢字の通用字体
涼,常用漢字の通用字体
猟,常用漢字の通用字体
陵,常用漢字の通用字体
量,常用漢字の通用字体
僚,常用漢字の通用字体
領,常用漢字の通用字体
寮,常用漢字の通用字体
療,常用漢字の通用字体
瞭,常用漢字の通用字体
糧,常用漢字の通用字体
力,常用漢字の通用字体
緑,常用漢字の通用字体
林,常用漢字の通用字体
厘,常用漢字の通用字体
倫,常用漢字の通用字体
輪,常用漢字の通用字体
隣,常用漢字の通用字体
臨,常用漢字の通用字体
瑠,常用漢字の通用字体
涙,常用漢字の通用字体
累,常用漢字の通用字体
塁,常用漢字の通用字体
類,常用漢字の通用字体
令,常用漢字の通用字体
礼,常用漢字の通用字体
冷,常用漢字の通用字体
励,常用漢字の通用字体
戻,常用漢字の通用字体
例,常用漢字の通用字体
鈴,常用漢字の通用字体
零,常用漢字の通用字体
霊,常用漢字の通用字体
隷,常用漢字の通用字体
齢,常用漢字の通用字体
麗,常用漢字の通用字体
暦,常用漢字の通用字体
歴,常用漢字の通用字体
列,常用漢字の通用字体
劣,常用漢字の通用字体
烈,常用漢字の通用字体
裂,常用漢字の通用字体
恋,常用漢字の通用字体
連,常用漢字の通用字体
廉,常用漢字の通用字体
練,常用漢字の通用字体
錬,常用漢字の通用字体
呂,常用漢字の通用字体
炉,常用漢字の通用字体
賂,常用漢字の通用字体
路,常用漢字の通用字体
露,常用漢字の通用字体
老,常用漢字の通用字体
労,常用漢字の通用字体
弄,常用漢字の通用字体
郎,常用漢字の通用字体
朗,常用漢字の通用字体
浪,常用漢字の通用字体
廊,常用漢字の通用字体
楼,常用漢字の通用字体
漏,常用漢字の通用字体
籠,常用漢字の通用字体
六,常用漢字の通用字体
録,常用漢字の通用字体
麓,常用漢字の通用字体
論,常用漢字の通用字体
和,常用漢字の通用字体
話,常用漢字の通用字体
賄,常用漢字の通用字体
脇,常用漢字の通用字体
惑,常用漢字の通用字体
枠,常用漢字の通用字体
湾,常用漢字の通用字体
腕,常用漢字の通用字体
丑,常用漢字外の字
丞,常用漢字外の字
乃,常用漢字外の字
之,常用漢字外の字
乎,常用漢字外の字
也,常用漢字外の字
云,常用漢字外の字
亘,常用漢字外の字
些,常用漢字外の字
亦,常用漢字外の字
亥,常用漢字外の字
亨,常用漢字外の字
亮,常用漢字外の字
仔,常用漢字外の字
伊,常用漢字外の字
伍,常用漢字外の字
伽,常用漢字外の字
佃,常用漢字外の字
佑,常用漢字外の字
伶,常用漢字外の字
侃,常用漢字外の字
侑,常用漢字外の字
俄,常用漢字外の字
俠,常用漢字外の字
俣,常用漢字外の字
俐,常用漢字外の字
倭,常用漢字外の字
俱,常用漢字外の字
倦,常用漢字外の字
倖,常用漢字外の字
偲,常用漢字外の字
傭,常用漢字外の字
儲,常用漢字外の字
允,常用漢字外の字
兎,常用漢字外の字
兜,常用漢字外の字
其,常用漢字外の字
冴,常用漢字外の字
凌,常用漢字外の字
凜,常用漢字外の字
凧,常用漢字外の字
凪,常用漢字外の字
凰,常用漢字外の字
凱,常用漢字外の字
函,常用漢字外の字
劉,常用漢字外の字
劫,常用漢字外の字
勁,常用漢字外の字
勺,常用漢字外の字
勿,常用漢字外の字
匁,常用漢字外の字
匡,常用漢字外の字
廿,常用漢字外の字
卜,常用漢字外の字
卯,常用漢字外の字
卿,常用漢字外の字
厨,常用漢字外の字
厩,常用漢字外の字
叉,常用漢字外の字
叡,常用漢字外の字
叢,常用漢字外の字
叶,常用漢字外の字
只,常用漢字外の字
吾,常用漢字外の字
吞,常用漢字外の字
吻,常用漢字外の字
哉,常用漢字外の字
哨,常用漢字外の字
啄,常用漢字外の字
哩,常用漢字外の字
喬,常用漢字外の字
喧,常用漢字外の字
喰,常用漢字外の字
喋,常用漢字外の字
嘩,常用漢字外の字
嘉,常用漢字外の字
嘗,常用漢字外の字
噌,常用漢字外の字
噂,常用漢字外の字
圃,常用漢字外の字
圭,常用漢字外の字
坐,常用漢字外の字
尭,常用漢字外の字
坦,常用漢字外の字
埴,常用漢字外の字
堰,常用漢字外の字
堺,常用漢字外の字
堵,常用漢字外の字
塙,常用漢字外の字
壕,常用漢字外の字
壬,常用漢字外の字
夷,常用漢字外の字
奄,常用漢字外の字
奎,常用漢字外の字
套,常用漢字外の字
娃,常用漢字外の字
姪,常用漢字外の字
姥,常用漢字外の字
娩,常用漢字外の字
嬉,常用漢字外の字
孟,常用漢字外の字
宏,常用漢字外の字
宋,常用漢字外の字
宕,常用漢字外の字
宥,常用漢字外の字
寅,常用漢字外の字
寓,常用漢字外の字
寵,常用漢字外の字
尖,常用漢字外の字
尤,常用漢字外の字
屑,常用漢字外の字
峨,常用漢字外の字
峻,常用漢字外の字
崚,常用漢字外の字
嵯,常用漢字外の字
嵩,常用漢字外の字
嶺,常用漢字外の字
巌,常用漢字外の字
巫,常用漢字外の字
已,常用漢字外の字
巳,常用漢字外の字
巴,常用漢字外の字
巷,常用漢字外の字
巽,常用漢字外の字
帖,常用漢字外の字
幌,常用漢字外の字
幡,常用漢字外の字
庄,常用漢字外の字
庇,常用漢字外の字
庚,常用漢字外の字
庵,常用漢字外の字
廟,常用漢字外の字
廻,常用漢字外の字
弘,常用漢字外の字
弛,常用漢字外の字
彗,常用漢字外の字
彦,常用漢字外の字
彪,常用漢字外の字
彬,常用漢字外の字
徠,常用漢字外の字
忽,常用漢字外の字
怜,常用漢字外の字
恢,常用漢字外の字
恰,常用漢字外の字
恕,常用漢字外の字
悌,常用漢字外の字
惟,常用漢字外の字
惚,常用漢字外の字
悉,常用漢字外の字
惇,常用漢字外の字
惹,常用漢字外の字
惺,常用漢字外の字
惣,常用漢字外の字
慧,常用漢字外の字
憐,常用漢字外の字
戊,常用漢字外の字
或,常用漢字外の字
戟,常用漢字外の字
托,常用漢字外の字
按,常用漢字外の字
挺,常用漢字外の字
挽,常用漢字外の字
掬,常用漢字外の字
捲,常用漢字外の字
捷,常用漢字外の字
捺,常用漢字外の字
捧,常用漢字外の字
掠,常用漢字外の字
揃,常用漢字外の字
摑,常用漢字外の字
摺,常用漢字外の字
撒,常用漢字外の字
撰,常用漢字外の字
撞,常用漢字外の字
播,常用漢字外の字
撫,常用漢字外の字
擢,常用漢字外の字
孜,常用漢字外の字
敦,常用漢字外の字
斐,常用漢字外の字
斡,常用漢字外の字
斧,常用漢字外の字
斯,常用漢字外の字
於,常用漢字外の字
旭,常用漢字外の字
昂,常用漢字外の字
昊,常用漢字外の字
昏,常用漢字外の字
昌,常用漢字外の字
昴,常用漢字外の字
晏,常用漢字外の字
晃,常用漢字外の字
晒,常用漢字外の字
晋,常用漢字外の字
晟,常用漢字外の字
晦,常用漢字外の字
晨,常用漢字外の字
智,常用漢字外の字
暉,常用漢字外の字
暢,常用漢字外の字
曙,常用漢字外の字
曝,常用漢字外の字
曳,常用漢字外の字
朋,常用漢字外の字
朔,常用漢字外の字
杏,常用漢字外の字
杖,常用漢字外の字
杜,常用漢字外の字
李,常用漢字外の字
杭,常用漢字外の字
杵,常用漢字外の字
杷,常用漢字外の字
枇,常用漢字外の字
柑,常用漢字外の字
柴,常用漢字外の字
柘,常用漢字外の字
柊,常用漢字外の字
柏,常用漢字外の字
柾,常用漢字外の字
柚,常用漢字外の字
桧,常用漢字外の字
栞,常用漢字外の字
桔,常用漢字外の字
桂,常用漢字外の字
栖,常用漢字外の字
桐,常用漢字外の字
栗,常用漢字外の字
梧,常用漢字外の字
梓,常用漢字外の字
梢,常用漢字外の字
梛,常用漢字外の字
梯,常用漢字外の字
桶,常用漢字外の字
梶,常用漢字外の字
椛,常用漢字外の字
梁,常用漢字外の字
棲,常用漢字外の字
椋,常用漢字外の字
椀,常用漢字外の字
楯,常用漢字外の字
楚,常用漢字外の字
楕,常用漢字外の字
椿,常用漢字外の字
楠,常用漢字外の字
楓,常用漢字外の字
椰,常用漢字外の字
楢,常用漢字外の字
楊,常用漢字外の字
榎,常用漢字外の字
樺,常用漢字外の字
榊,常用漢字外の字
榛,常用漢字外の字
槙,常用漢字外の字
槍,常用漢字外の字
槌,常用漢字外の字
樫,常用漢字外の字
槻,常用漢字外の字
樟,常用漢字外の字
樋,常用漢字外の字
橘,常用漢字外の字
樽,常用漢字外の字
橙,常用漢字外の字
檎,常用漢字外の字
檀,常用漢字外の字
櫂,常用漢字外の字
櫛,常用漢字外の字
櫓,常用漢字外の字
欣,常用漢字外の字
欽,常用漢字外の字
歎,常用漢字外の字
此,常用漢字外の字
殆,常用漢字外の字
毅,常用漢字外の字
毘,常用漢字外の字
毬,常用漢字外の字
汀,常用漢字外の字
汝,常用漢字外の字
汐,常用漢字外の字
汲,常用漢字外の字
沌,常用漢字外の字
沓,常用漢字外の字
沫,常用漢字外の字
洸,常用漢字外の字
洲,常用漢字外の字
洵,常用漢字外の字
洛,常用漢字外の字
浩,常用漢字外の字
浬,常用漢字外の字
淵,常用漢字外の字
淳,常用漢字外の字
渚,常用漢字外の字
淀,常用漢字外の字
淋,常用漢字外の字
渥,常用漢字外の字
渾,常用漢字外の字
湘,常用漢字外の字
湊,常用漢字外の字
湛,常用漢字外の字
溢,常用漢字外の字
滉,常用漢字外の字
溜,常用漢字外の字
漱,常用漢字外の字
漕,常用漢字外の字
漣,常用漢字外の字
澪,常用漢字外の字
濡,常用漢字外の字
瀕,常用漢字外の字
灘,常用漢字外の字
灸,常用漢字外の字
灼,常用漢字外の字
烏,常用漢字外の字
焰,常用漢字外の字
焚,常用漢字外の字
煌,常用漢字外の字
煤,常用漢字外の字
煉,常用漢字外の字
熙,常用漢字外の字
燕,常用漢字外の字
燎,常用漢字外の字
燦,常用漢字外の字
燭,常用漢字外の字
燿,常用漢字外の字
爾,常用漢字外の字
牒,常用漢字外の字
牟,常用漢字外の字
牡,常用漢字外の字
牽,常用漢字外の字
犀,常用漢字外の字
狼,常用漢字外の字
猪,常用漢字外の字
獅,常用漢字外の字
玖,常用漢字外の字
珂,常用漢字外の字
珈,常用漢字外の字
珊,常用漢字外の字
珀,常用漢字外の字
玲,常用漢字外の字
琢,常用漢字外の字
琉,常用漢字外の字
瑛,常用漢字外の字
琥,常用漢字外の字
琶,常用漢字外の字
琵,常用漢字外の字
琳,常用漢字外の字
瑚,常用漢字外の字
瑞,常用漢字外の字
瑶,常用漢字外の字
瑳,常用漢字外の字
瓜,常用漢字外の字
瓢,常用漢字外の字
甥,常用漢字外の字
甫,常用漢字外の字
畠,常用漢字外の字
畢,常用漢字外の字
疋,常用漢字外の字
疏,常用漢字外の字
皐,常用漢字外の字
皓,常用漢字外の字
眸,常用漢字外の字
瞥,常用漢字外の字
矩,常用漢字外の字
砦,常用漢字外の字
砥,常用漢字外の字
砧,常用漢字外の字
硯,常用漢字外の字
碓,常用漢字外の字
碗,常用漢字外の字
碩,常用漢字外の字
碧,常用漢字外の字
磐,常用漢字外の字
磯,常用漢字外の字
祇,常用漢字外の字
祢,常用漢字外の字
祐,常用漢字外の字
祷,常用漢字外の字
禄,常用漢字外の字
禎,常用漢字外の字
禽,常用漢字外の字
禾,常用漢字外の字
秦,常用漢字外の字
秤,常用漢字外の字
稀,常用漢字外の字
稔,常用漢字外の字
稟,常用漢字外の字
稜,常用漢字外の字
穣,常用漢字外の字
穹,常用漢字外の字
穿,常用漢字外の字
窄,常用漢字外の字
窪,常用漢字外の字
窺,常用漢字外の字
竣,常用漢字外の字
竪,常用漢字外の字
竺,常用漢字外の字
竿,常用漢字外の字
笈,常用漢字外の字
笹,常用漢字外の字
笙,常用漢字外の字
笠,常用漢字外の字
筈,常用漢字外の字
筑,常用漢字外の字
箕,常用漢字外の字
箔,常用漢字外の字
篇,常用漢字外の字
篠,常用漢字外の字
簞,常用漢字外の字
簾,常用漢字外の字
籾,常用漢字外の字
粥,常用漢字外の字
粟,常用漢字外の字
糊,常用漢字外の字
紘,常用漢字外の字
紗,常用漢字外の字
紐,常用漢字外の字
絃,常用漢字外の字
紬,常用漢字外の字
絆,常用漢字外の字
絢,常用漢字外の字
綺,常用漢字外の字
綜,常用漢字外の字
綴,常用漢字外の字
緋,常用漢字外の字
綾,常用漢字外の字
綸,常用漢字外の字
縞,常用漢字外の字
徽,常用漢字外の字
繫,常用漢字外の字
繡,常用漢字外の字
纂,常用漢字外の字
纏,常用漢字外の字
羚,常用漢字外の字
翔,常用漢字外の字
翠,常用漢字外の字
耀,常用漢字外の字
而,常用漢字外の字
耶,常用漢字外の字
耽,常用漢字外の字
聡,常用漢字外の字
肇,常用漢字外の字
肋,常用漢字外の字
肴,常用漢字外の字
胤,常用漢字外の字
胡,常用漢字外の字
脩,常用漢字外の字
腔,常用漢字外の字
脹,常用漢字外の字
膏,常用漢字外の字
臥,常用漢字外の字
舜,常用漢字外の字
舵,常用漢字外の字
芥,常用漢字外の字
芹,常用漢字外の字
芭,常用漢字外の字
芙,常用漢字外の字
芦,常用漢字外の字
苑,常用漢字外の字
茄,常用漢字外の字
苔,常用漢字外の字
苺,常用漢字外の字
茅,常用漢字外の字
茉,常用漢字外の字
茸,常用漢字外の字
茜,常用漢字外の字
莞,常用漢字外の字
荻,常用漢字外の字
莫,常用漢字外の字
莉,常用漢字外の字
菅,常用漢字外の字
菫,常用漢字外の字
菖,常用漢字外の字
萄,常用漢字外の字
菩,常用漢字外の字
萌,常用漢字外の字
萊,常用漢字外の字
菱,常用漢字外の字
葦,常用漢字外の字
葵,常用漢字外の字
萱,常用漢字外の字
葺,常用漢字外の字
萩,常用漢字外の字
董,常用漢字外の字
葡,常用漢字外の字
蓑,常用漢字外の字
蒔,常用漢字外の字
蒐,常用漢字外の字
蒼,常用漢字外の字
蒲,常用漢字外の字
蒙,常用漢字外の字
蓉,常用漢字外の字
蓮,常用漢字外の字
蔭,常用漢字外の字
蔣,常用漢字外の字
蔦,常用漢字外の字
蓬,常用漢字外の字
蔓,常用漢字外の字
蕎,常用漢字外の字
蕨,常用漢字外の字
蕉,常用漢字外の字
蕃,常用漢字外の字
蕪,常用漢字外の字
薙,常用漢字外の字
蕾,常用漢字外の字
蕗,常用漢字外の字
藁,常用漢字外の字
薩,常用漢字外の字
蘇,常用漢字外の字
蘭,常用漢字外の字
蝦,常用漢字外の字
蝶,常用漢字外の字
螺,常用漢字外の字
蟬,常用漢字外の字
蟹,常用漢字外の字
蠟,常用漢字外の字
衿,常用漢字外の字
袈,常用漢字外の字
袴,常用漢字外の字
裡,常用漢字外の字
裟,常用漢字外の字
裳,常用漢字外の字
襖,常用漢字外の字
訊,常用漢字外の字
訣,常用漢字外の字
註,常用漢字外の字
詢,常用漢字外の字
詫,常用漢字外の字
誼,常用漢字外の字
諏,常用漢字外の字
諄,常用漢字外の字
諒,常用漢字外の字
謂,常用漢字外の字
諺,常用漢字外の字
讃,常用漢字外の字
豹,常用漢字外の字
貰,常用漢字外の字
賑,常用漢字外の字
赳,常用漢字外の字
跨,常用漢字外の字
蹄,常用漢字外の字
蹟,常用漢字外の字
輔,常用漢字外の字
輯,常用漢字外の字
輿,常用漢字外の字
轟,常用漢字外の字
辰,常用漢字外の字
辻,常用漢字外の字
迂,常用漢字外の字
迄,常用漢字外の字
辿,常用漢字外の字
迪,常用漢字外の字
迦,常用漢字外の字
這,常用漢字外の字
逞,常用漢字外の字
逗,常用漢字外の字
逢,常用漢字外の字
遥,常用漢字外の字
遁,常用漢字外の字
遼,常用漢字外の字
邑,常用漢字外の字
祁,常用漢字外の字
郁,常用漢字外の字
鄭,常用漢字外の字
酉,常用漢字外の字
醇,常用漢字外の字
醐,常用漢字外の字
醍,常用漢字外の字
醬,常用漢字外の字
釉,常用漢字外の字
釘,常用漢字外の字
釧,常用漢字外の字
銑,常用漢字外の字
鋒,常用漢字外の字
鋸,常用漢字外の字
錘,常用漢字外の字
錐,常用漢字外の字
錆,常用漢字外の字
錫,常用漢字外の字
鍬,常用漢字外の字
鎧,常用漢字外の字
閃,常用漢字外の字
閏,常用漢字外の字
閤,常用漢字外の字
阿,常用漢字外の字
陀,常用漢字外の字
隈,常用漢字外の字
隼,常用漢字外の字
雀,常用漢字外の字
雁,常用漢字外の字
雛,常用漢字外の字
雫,常用漢字外の字
霞,常用漢字外の字
靖,常用漢字外の字
鞄,常用漢字外の字
鞍,常用漢字外の字
鞘,常用漢字外の字
鞠,常用漢字外の字
鞭,常用漢字外の字
頁,常用漢字外の字
頌,常用漢字外の字
頗,常用漢字外の字
顚,常用漢字外の字
颯,常用漢字外の字
饗,常用漢字外の字
馨,常用漢字外の字
馴,常用漢字外の字
馳,常用漢字外の字
駕,常用漢字外の字
駿,常用漢字外の字
驍,常用漢字外の字
魁,常用漢字外の字
魯,常用漢字外の字
鮎,常用漢字外の字
鯉,常用漢字外の字
鯛,常用漢字外の字
鰯,常用漢字外の字
鱒,常用漢字外の字
鱗,常用漢字外の字
鳩,常用漢字外の字
鳶,常用漢字外の字
鳳,常用漢字外の字
鴨,常用漢字外の字
鴻,常用漢字外の字
鵜,常用漢字外の字
鵬,常用漢字外の字
鷗,常用漢字外の字
鷲,常用漢字外の字
鷺,常用漢字外の字
鷹,常用漢字外の字
麒,常用漢字外の字
麟,常用漢字外の字
麿,常用漢字外の字
黎,常用漢字外の字
黛,常用漢字外の字
鼎,常用漢字外の字
亙,常用漢字外の字
凛,常用漢字外の字
堯,常用漢字外の字
巖,常用漢字外の字
晄,常用漢字外の字
檜,常用漢字外の字
槇,常用漢字外の字
渚,常用漢字外の字
猪,常用漢字外の字
琢,常用漢字外の字
禰,常用漢字外の字
祐,常用漢字外の字
禱,常用漢字外の字
祿,常用漢字外の字
禎,常用漢字外の字
穰,常用漢字外の字
萠,常用漢字外の字
遙,常用漢字外の字
亞,常用漢字の異体字
惡,常用漢字の異体字
爲,常用漢字の異体字
逸,常用漢字の異体字
榮,常用漢字の異体字
衞,常用漢字の異体字
謁,常用漢字の異体字
圓,常用漢字の異体字
緣,常用漢字の異体字
薗,常用漢字の異体字
應,常用漢字の異体字
櫻,常用漢字の異体字
奧,常用漢字の異体字
橫,常用漢字の異体字
溫,常用漢字の異体字
價,常用漢字の異体字
禍,常用漢字の異体字
悔,常用漢字の異体字
海,常用漢字の異体字
壞,常用漢字の異体字
懷,常用漢字の異体字
樂,常用漢字の異体字
渴,常用漢字の異体字
卷,常用漢字の異体字
陷,常用漢字の異体字
寬,常用漢字の異体字
漢,常用漢字の異体字
氣,常用漢字の異体字
祈,常用漢字の異体字
器,常用漢字の異体字
僞,常用漢字の異体字
戲,常用漢字の異体字
虛,常用漢字の異体字
峽,常用漢字の異体字
狹,常用漢字の異体字
響,常用漢字の異体字
曉,常用漢字の異体字
勤,常用漢字の異体字
謹,常用漢字の異体字
駈,常用漢字の異体字
勳,常用漢字の異体字
薰,常用漢字の異体字
惠,常用漢字の異体字
揭,常用漢字の異体字
鷄,常用漢字の異体字
藝,常用漢字の異体字
擊,常用漢字の異体字
縣,常用漢字の異体字
儉,常用漢字の異体字
劍,常用漢字の異体字
險,常用漢字の異体字
圈,常用漢字の異体字
檢,常用漢字の異体字
顯,常用漢字の異体字
驗,常用漢字の異体字
嚴,常用漢字の異体字
廣,常用漢字の異体字
恆,常用漢字の異体字
黃,常用漢字の異体字
國,常用漢字の異体字
黑,常用漢字の異体字
穀,常用漢字の異体字
碎,常用漢字の異体字
雜,常用漢字の異体字
祉,常用漢字の異体字
視,常用漢字の異体字
兒,常用漢字の異体字
濕,常用漢字の異体字
實,常用漢字の異体字
社,常用漢字の異体字
者,常用漢字の異体字
煮,常用漢字の異体字
壽,常用漢字の異体字
收,常用漢字の異体字
臭,常用漢字の異体字
從,常用漢字の異体字
澁,常用漢字の異体字
獸,常用漢字の異体字
縱,常用漢字の異体字
祝,常用漢字の異体字
暑,常用漢字の異体字
署,常用漢字の異体字
緖,常用漢字の異体字
諸,常用漢字の異体字
敍,常用漢字の異体字
將,常用漢字の異体字
祥,常用漢字の異体字
涉,常用漢字の異体字
燒,常用漢字の異体字
奬,常用漢字の異体字
條,常用漢字の異体字
狀,常用漢字の異体字
乘,常用漢字の異体字
淨,常用漢字の異体字
剩,常用漢字の異体字
疊,常用漢字の異体字
孃,常用漢字の異体字
讓,常用漢字の異体字
釀,常用漢字の異体字
神,常用漢字の異体字
眞,常用漢字の異体字
寢,常用漢字の異体字
愼,常用漢字の異体字
盡,常用漢字の異体字
粹,常用漢字の異体字
醉,常用漢字の異体字
穗,常用漢字の異体字
瀨,常用漢字の異体字
齊,常用漢字の異体字
靜,常用漢字の異体字
攝,常用漢字の異体字
節,常用漢字の異体字
專,常用漢字の異体字
戰,常用漢字の異体字
纖,常用漢字の異体字
禪,常用漢字の異体字
祖,常用漢字の異体字
壯,常用漢字の異体字
爭,常用漢字の異体字
莊,常用漢字の異体字
搜,常用漢字の異体字
巢,常用漢字の異体字
曾,常用漢字の異体字
裝,常用漢字の異体字
僧,常用漢字の異体字
層,常用漢字の異体字
瘦,常用漢字の異体字
騷,常用漢字の異体字
增,常用漢字の異体字
憎,常用漢字の異体字
藏,常用漢字の異体字
贈,常用漢字の異体字
臟,常用漢字の異体字
卽,常用漢字の異体字
帶,常用漢字の異体字
滯,常用漢字の異体字
瀧,常用漢字の異体字
單,常用漢字の異体字
嘆,常用漢字の異体字
團,常用漢字の異体字
彈,常用漢字の異体字
晝,常用漢字の異体字
鑄,常用漢字の異体字
著,常用漢字の異体字
廳,常用漢字の異体字
徵,常用漢字の異体字
聽,常用漢字の異体字
懲,常用漢字の異体字
鎭,常用漢字の異体字
轉,常用漢字の異体字
傳,常用漢字の異体字
都,常用漢字の異体字
嶋,常用漢字の異体字
燈,常用漢字の異体字
盜,常用漢字の異体字
稻,常用漢字の異体字
德,常用漢字の異体字
突,常用漢字の異体字
難,常用漢字の異体字
拜,常用漢字の異体字
盃,常用漢字の異体字
賣,常用漢字の異体字
梅,常用漢字の異体字
髮,常用漢字の異体字
拔,常用漢字の異体字
繁,常用漢字の異体字
晚,常用漢字の異体字
卑,常用漢字の異体字
祕,常用漢字の異体字
碑,常用漢字の異体字
賓,常用漢字の異体字
敏,常用漢字の異体字
冨,常用漢字の異体字
侮,常用漢字の異体字
福,常用漢字の異体字
拂,常用漢字の異体字
佛,常用漢字の異体字
勉,常用漢字の異体字
步,常用漢字の異体字
峯,常用漢字の異体字
墨,常用漢字の異体字
飜,常用漢字の異体字
每,常用漢字の異体字
萬,常用漢字の異体字
默,常用漢字の異体字
埜,常用漢字の異体字
彌,常用漢字の異体字
藥,常用漢字の異体字
與,常用漢字の異体字
搖,常用漢字の異体字
樣,常用漢字の異体字
謠,常用漢字の異体字
來,常用漢字の異体字
賴,常用漢字の異体字
覽,常用漢字の異体字
欄,常用漢字の異体字
龍,常用漢字の異体字
虜,常用漢字の異体字
凉,常用漢字の異体字
綠,常用漢字の異体字
淚,常用漢字の異体字
壘,常用漢字の異体字
類,常用漢字の異体字
禮,常用漢字の異体字
曆,常用漢字の異体字
歷,常用漢字の異体字
練,常用漢字の異体字
鍊,常用漢字の異体字
郞,常用漢字の異体字
朗,常用漢字の異体字
廊,常用漢字の異体字
錄,常用漢字の異体字
