漢字,部首ID,部首,部首名
一,1,一,いち
丁,1,一,いち
七,1,一,いち
万,1,一,いち
丈,1,一,いち
三,1,一,いち
上,1,一,いち
下,1,一,いち
不,1,一,いち
与,1,一,いち
且,1,一,いち
世,1,一,いち
丘,1,一,いち
丙,1,一,いち
両,1,一,いち
並,1,一,いち
中,2,丨,ぼう・たてぼう
串,2,丨,ぼう・たてぼう
丸,3,丶,てん
丹,3,丶,てん
主,3,丶,てん
丼,3,丶,てん
久,4,丿,の・はらいぼう
乏,4,丿,の・はらいぼう
乗,4,丿,の・はらいぼう
乙,5a,乙,おつ
九,5a,乙,おつ
乞,5a,乙,おつ
乾,5a,乙,おつ
乱,5b,乚,おつ
乳,5b,乚,おつ
了,6,亅,はねぼう
予,6,亅,はねぼう
争,6,亅,はねぼう
事,6,亅,はねぼう
二,7,二,に
互,7,二,に
五,7,二,に
井,7,二,に
亜,7,二,に
亡,8,亠,なべぶた・けいさんかんむり
交,8,亠,なべぶた・けいさんかんむり
享,8,亠,なべぶた・けいさんかんむり
京,8,亠,なべぶた・けいさんかんむり
亭,8,亠,なべぶた・けいさんかんむり
人,9a,人,ひと
以,9a,人,ひと
仁,9b,亻,にんべん
仏,9b,亻,にんべん
仕,9b,亻,にんべん
他,9b,亻,にんべん
付,9b,亻,にんべん
仙,9b,亻,にんべん
代,9b,亻,にんべん
仮,9b,亻,にんべん
仰,9b,亻,にんべん
仲,9b,亻,にんべん
件,9b,亻,にんべん
任,9b,亻,にんべん
伎,9b,亻,にんべん
伏,9b,亻,にんべん
伐,9b,亻,にんべん
休,9b,亻,にんべん
伝,9b,亻,にんべん
伯,9b,亻,にんべん
伴,9b,亻,にんべん
伸,9b,亻,にんべん
伺,9b,亻,にんべん
似,9b,亻,にんべん
但,9b,亻,にんべん
位,9b,亻,にんべん
低,9b,亻,にんべん
住,9b,亻,にんべん
佐,9b,亻,にんべん
体,9b,亻,にんべん
何,9b,亻,にんべん
作,9b,亻,にんべん
佳,9b,亻,にんべん
併,9b,亻,にんべん
使,9b,亻,にんべん
例,9b,亻,にんべん
侍,9b,亻,にんべん
供,9b,亻,にんべん
依,9b,亻,にんべん
価,9b,亻,にんべん
侮,9b,亻,にんべん
侯,9b,亻,にんべん
侵,9b,亻,にんべん
侶,9b,亻,にんべん
便,9b,亻,にんべん
係,9b,亻,にんべん
促,9b,亻,にんべん
俊,9b,亻,にんべん
俗,9b,亻,にんべん
保,9b,亻,にんべん
信,9b,亻,にんべん
修,9b,亻,にんべん
俳,9b,亻,にんべん
俵,9b,亻,にんべん
俸,9b,亻,にんべん
俺,9b,亻,にんべん
個,9b,亻,にんべん
倍,9b,亻,にんべん
倒,9b,亻,にんべん
候,9b,亻,にんべん
借,9b,亻,にんべん
倣,9b,亻,にんべん
値,9b,亻,にんべん
倫,9b,亻,にんべん
倹,9b,亻,にんべん
偉,9b,亻,にんべん
偏,9b,亻,にんべん
停,9b,亻,にんべん
健,9b,亻,にんべん
側,9b,亻,にんべん
偵,9b,亻,にんべん
偶,9b,亻,にんべん
偽,9b,亻,にんべん
傍,9b,亻,にんべん
傑,9b,亻,にんべん
備,9b,亻,にんべん
催,9b,亻,にんべん
傲,9b,亻,にんべん
債,9b,亻,にんべん
傷,9b,亻,にんべん
傾,9b,亻,にんべん
僅,9b,亻,にんべん
働,9b,亻,にんべん
像,9b,亻,にんべん
僕,9b,亻,にんべん
僚,9b,亻,にんべん
僧,9b,亻,にんべん
儀,9b,亻,にんべん
億,9b,亻,にんべん
儒,9b,亻,にんべん
償,9b,亻,にんべん
優,9b,亻,にんべん
今,9c,𠆢,ひとやね
介,9c,𠆢,ひとやね
令,9c,𠆢,ひとやね
企,9c,𠆢,ひとやね
会,9c,𠆢,ひとやね
余,9c,𠆢,ひとやね
倉,9c,𠆢,ひとやね
傘,9c,𠆢,ひとやね
元,10b,儿,ひとあし・にんにょう
兄,10b,儿,ひとあし・にんにょう
充,10b,儿,ひとあし・にんにょう
兆,10b,儿,ひとあし・にんにょう
先,10b,儿,ひとあし・にんにょう
光,10b,儿,ひとあし・にんにょう
克,10b,儿,ひとあし・にんにょう
免,10b,儿,ひとあし・にんにょう
児,10b,儿,ひとあし・にんにょう
党,10b,儿,ひとあし・にんにょう
入,11,入,いる
全,11,入,いる
内,11,入,いる
八,12a,八,はち
公,12a,八,はち
兼,12a,八,はち
六,12b,八,は
共,12b,八,は
兵,12b,八,は
具,12b,八,は
典,12b,八,は
円,13,冂,どうがまえ・けいがまえ・まきがまえ
冊,13,冂,どうがまえ・けいがまえ・まきがまえ
再,13,冂,どうがまえ・けいがまえ・まきがまえ
冗,14,冖,わかんむり・ひらかんむり
写,14,冖,わかんむり・ひらかんむり
冠,14,冖,わかんむり・ひらかんむり
冥,14,冖,わかんむり・ひらかんむり
冬,15,冫,にすい
冶,15,冫,にすい
冷,15,冫,にすい
凄,15,冫,にすい
准,15,冫,にすい
凍,15,冫,にすい
凝,15,冫,にすい
凡,16,几,つくえ
処,16,几,つくえ
凶,17,凵,うけばこ・かんがまえ
凸,17,凵,うけばこ・かんがまえ
凹,17,凵,うけばこ・かんがまえ
出,17,凵,うけばこ・かんがまえ
刀,18a,刀,かたな
刃,18a,刀,かたな
分,18a,刀,かたな
切,18a,刀,かたな
初,18a,刀,かたな
券,18a,刀,かたな
刈,18b,刂,りっとう
刊,18b,刂,りっとう
刑,18b,刂,りっとう
列,18b,刂,りっとう
判,18b,刂,りっとう
別,18b,刂,りっとう
利,18b,刂,りっとう
到,18b,刂,りっとう
制,18b,刂,りっとう
刷,18b,刂,りっとう
刹,18b,刂,りっとう
刺,18b,刂,りっとう
刻,18b,刂,りっとう
則,18b,刂,りっとう
削,18b,刂,りっとう
前,18b,刂,りっとう
剖,18b,刂,りっとう
剛,18b,刂,りっとう
剝,18b,刂,りっとう
剣,18b,刂,りっとう
剤,18b,刂,りっとう
副,18b,刂,りっとう
剰,18b,刂,りっとう
割,18b,刂,りっとう
創,18b,刂,りっとう
劇,18b,刂,りっとう
力,19,力,ちから
功,19,力,ちから
加,19,力,ちから
劣,19,力,ちから
助,19,力,ちから
努,19,力,ちから
励,19,力,ちから
労,19,力,ちから
効,19,力,ちから
劾,19,力,ちから
勃,19,力,ちから
勅,19,力,ちから
勇,19,力,ちから
勉,19,力,ちから
動,19,力,ちから
勘,19,力,ちから
務,19,力,ちから
勝,19,力,ちから
募,19,力,ちから
勢,19,力,ちから
勤,19,力,ちから
勧,19,力,ちから
勲,19,力,ちから
勾,20,勹,つつみがまえ
匂,20,勹,つつみがまえ
包,20,勹,つつみがまえ
化,21,匕,ひ
北,21,匕,ひ
匠,22,匚,はこがまえ
匹,23,匸,かくしがまえ
区,23,匸,かくしがまえ
医,23,匸,かくしがまえ
匿,23,匸,かくしがまえ
十,24,十,じゅう
千,24,十,じゅう
升,24,十,じゅう
午,24,十,じゅう
半,24,十,じゅう
卑,24,十,じゅう
卒,24,十,じゅう
卓,24,十,じゅう
協,24,十,じゅう
南,24,十,じゅう
博,24,十,じゅう
占,25,卜,ぼく・と・うらない
印,26a,卩,わりふ・ふしづくり
即,26a,卩,わりふ・ふしづくり
却,26a,卩,わりふ・ふしづくり
卵,26a,卩,わりふ・ふしづくり
卸,26a,卩,わりふ・ふしづくり
危,26b,卩,わりふ・ふしづくり
巻,26b,卩,わりふ・ふしづくり
厄,27,厂,がんだれ
厘,27,厂,がんだれ
厚,27,厂,がんだれ
原,27,厂,がんだれ
去,28,厶,む
参,28,厶,む
又,29,又,また
及,29,又,また
友,29,又,また
双,29,又,また
反,29,又,また
収,29,又,また
叔,29,又,また
取,29,又,また
受,29,又,また
叙,29,又,また
口,30a,口,くち
古,30a,口,くち
句,30a,口,くち
召,30a,口,くち
可,30a,口,くち
台,30a,口,くち
史,30a,口,くち
右,30a,口,くち
号,30a,口,くち
司,30a,口,くち
各,30a,口,くち
合,30a,口,くち
吉,30a,口,くち
同,30a,口,くち
名,30a,口,くち
后,30a,口,くち
吏,30a,口,くち
向,30a,口,くち
君,30a,口,くち
否,30a,口,くち
含,30a,口,くち
呂,30a,口,くち
呈,30a,口,くち
呉,30a,口,くち
告,30a,口,くち
周,30a,口,くち
命,30a,口,くち
和,30a,口,くち
哀,30a,口,くち
品,30a,口,くち
員,30a,口,くち
哲,30a,口,くち
唇,30a,口,くち
唐,30a,口,くち
商,30a,口,くち
問,30a,口,くち
啓,30a,口,くち
善,30a,口,くち
喜,30a,口,くち
喪,30a,口,くち
嗣,30a,口,くち
器,30a,口,くち
叫,30b,口,くちへん
吐,30b,口,くちへん
吟,30b,口,くちへん
吸,30b,口,くちへん
吹,30b,口,くちへん
呪,30b,口,くちへん
味,30b,口,くちへん
呼,30b,口,くちへん
咲,30b,口,くちへん
咽,30b,口,くちへん
哺,30b,口,くちへん
唄,30b,口,くちへん
唆,30b,口,くちへん
唯,30b,口,くちへん
唱,30b,口,くちへん
唾,30b,口,くちへん
喉,30b,口,くちへん
喚,30b,口,くちへん
喝,30b,口,くちへん
喩,30b,口,くちへん
喫,30b,口,くちへん
嗅,30b,口,くちへん
嘆,30b,口,くちへん
嘱,30b,口,くちへん
嘲,30b,口,くちへん
噴,30b,口,くちへん
嚇,30b,口,くちへん
叱,30b,口,くちへん
囚,31,囗,くにがまえ
四,31,囗,くにがまえ
回,31,囗,くにがまえ
因,31,囗,くにがまえ
団,31,囗,くにがまえ
困,31,囗,くにがまえ
囲,31,囗,くにがまえ
図,31,囗,くにがまえ
固,31,囗,くにがまえ
国,31,囗,くにがまえ
圏,31,囗,くにがまえ
園,31,囗,くにがまえ
土,32a,土,つち
圧,32a,土,つち
在,32a,土,つち
垂,32a,土,つち
型,32a,土,つち
執,32a,土,つち
基,32a,土,つち
堂,32a,土,つち
堅,32a,土,つち
堕,32a,土,つち
報,32a,土,つち
塁,32a,土,つち
塑,32a,土,つち
塗,32a,土,つち
塞,32a,土,つち
塾,32a,土,つち
墓,32a,土,つち
墜,32a,土,つち
墨,32a,土,つち
墾,32a,土,つち
壁,32a,土,つち
地,32b,土,つちへん
坂,32b,土,つちへん
均,32b,土,つちへん
坊,32b,土,つちへん
坑,32b,土,つちへん
坪,32b,土,つちへん
垣,32b,土,つちへん
埋,32b,土,つちへん
城,32b,土,つちへん
域,32b,土,つちへん
培,32b,土,つちへん
埼,32b,土,つちへん
堀,32b,土,つちへん
堆,32b,土,つちへん
堤,32b,土,つちへん
堪,32b,土,つちへん
場,32b,土,つちへん
塀,32b,土,つちへん
塊,32b,土,つちへん
塔,32b,土,つちへん
塚,32b,土,つちへん
塡,32b,土,つちへん
塩,32b,土,つちへん
境,32b,土,つちへん
増,32b,土,つちへん
墳,32b,土,つちへん
壇,32b,土,つちへん
壊,32b,土,つちへん
壌,32b,土,つちへん
士,33,士,さむらい
壮,33,士,さむらい
声,33,士,さむらい
壱,33,士,さむらい
売,33,士,さむらい
変,34b,夊,すいにょう
夏,34b,夊,すいにょう
夕,35,夕,た・ゆうべ
外,35,夕,た・ゆうべ
多,35,夕,た・ゆうべ
夜,35,夕,た・ゆうべ
夢,35,夕,た・ゆうべ
大,36,大,だい
天,36,大,だい
太,36,大,だい
夫,36,大,だい
央,36,大,だい
失,36,大,だい
奇,36,大,だい
奈,36,大,だい
奉,36,大,だい
奏,36,大,だい
契,36,大,だい
奔,36,大,だい
奥,36,大,だい
奨,36,大,だい
奪,36,大,だい
奮,36,大,だい
爽,36,大,だい
女,37a,女,おんな
妄,37a,女,おんな
妥,37a,女,おんな
妻,37a,女,おんな
委,37a,女,おんな
姿,37a,女,おんな
威,37a,女,おんな
婆,37a,女,おんな
奴,37b,女,おんなへん
好,37b,女,おんなへん
如,37b,女,おんなへん
妃,37b,女,おんなへん
妊,37b,女,おんなへん
妖,37b,女,おんなへん
妙,37b,女,おんなへん
妨,37b,女,おんなへん
妬,37b,女,おんなへん
妹,37b,女,おんなへん
姉,37b,女,おんなへん
始,37b,女,おんなへん
姓,37b,女,おんなへん
姫,37b,女,おんなへん
姻,37b,女,おんなへん
娘,37b,女,おんなへん
娠,37b,女,おんなへん
娯,37b,女,おんなへん
婚,37b,女,おんなへん
婦,37b,女,おんなへん
婿,37b,女,おんなへん
媒,37b,女,おんなへん
媛,37b,女,おんなへん
嫁,37b,女,おんなへん
嫉,37b,女,おんなへん
嫌,37b,女,おんなへん
嫡,37b,女,おんなへん
嬢,37b,女,おんなへん
子,38a,子,こ
字,38a,子,こ
存,38a,子,こ
孝,38a,子,こ
季,38a,子,こ
学,38a,子,こ
孔,38b,子,こへん
孤,38b,子,こへん
孫,38b,子,こへん
宅,39,宀,うかんむり
宇,39,宀,うかんむり
守,39,宀,うかんむり
安,39,宀,うかんむり
完,39,宀,うかんむり
宗,39,宀,うかんむり
官,39,宀,うかんむり
宙,39,宀,うかんむり
定,39,宀,うかんむり
宛,39,宀,うかんむり
宜,39,宀,うかんむり
宝,39,宀,うかんむり
実,39,宀,うかんむり
客,39,宀,うかんむり
宣,39,宀,うかんむり
室,39,宀,うかんむり
宮,39,宀,うかんむり
宰,39,宀,うかんむり
害,39,宀,うかんむり
宴,39,宀,うかんむり
宵,39,宀,うかんむり
家,39,宀,うかんむり
容,39,宀,うかんむり
宿,39,宀,うかんむり
寂,39,宀,うかんむり
寄,39,宀,うかんむり
密,39,宀,うかんむり
富,39,宀,うかんむり
寒,39,宀,うかんむり
寛,39,宀,うかんむり
寝,39,宀,うかんむり
察,39,宀,うかんむり
寡,39,宀,うかんむり
寧,39,宀,うかんむり
審,39,宀,うかんむり
寮,39,宀,うかんむり
寸,40,寸,すん
寺,40,寸,すん
対,40,寸,すん
寿,40,寸,すん
封,40,寸,すん
専,40,寸,すん
射,40,寸,すん
将,40,寸,すん
尉,40,寸,すん
尊,40,寸,すん
尋,40,寸,すん
導,40,寸,すん
小,41a,小,しょう
少,41a,小,しょう
尚,41b,小,しょう
当,41b,小,しょう
就,42,尢,だいのまげあし
尺,43,尸,かばね・しかばね
尻,43,尸,かばね・しかばね
尼,43,尸,かばね・しかばね
尽,43,尸,かばね・しかばね
尾,43,尸,かばね・しかばね
尿,43,尸,かばね・しかばね
局,43,尸,かばね・しかばね
居,43,尸,かばね・しかばね
屈,43,尸,かばね・しかばね
届,43,尸,かばね・しかばね
屋,43,尸,かばね・しかばね
展,43,尸,かばね・しかばね
属,43,尸,かばね・しかばね
層,43,尸,かばね・しかばね
履,43,尸,かばね・しかばね
屯,44,屮,てつ
山,45a,山,やま
岡,45a,山,やま
岩,45a,山,やま
岳,45a,山,やま
岸,45a,山,やま
島,45a,山,やま
崇,45a,山,やま
崖,45a,山,やま
崩,45a,山,やま
嵐,45a,山,やま
岐,45b,山,やまへん
岬,45b,山,やまへん
峠,45b,山,やまへん
峡,45b,山,やまへん
峰,45b,山,やまへん
崎,45b,山,やまへん
川,46a,川,かわ
州,46a,川,かわ
巡,46b,巛,まげかわ
工,47a,工,え・たくみ
左,47a,工,え・たくみ
巨,47a,工,え・たくみ
差,47a,工,え・たくみ
巧,47b,工,たくみへん
己,48,己,おのれ
巾,49a,巾,はば
市,49a,巾,はば
布,49a,巾,はば
希,49a,巾,はば
帝,49a,巾,はば
帥,49a,巾,はば
師,49a,巾,はば
席,49a,巾,はば
帯,49a,巾,はば
帰,49a,巾,はば
常,49a,巾,はば
幕,49a,巾,はば
幣,49a,巾,はば
帆,49b,巾,はばへん
帳,49b,巾,はばへん
帽,49b,巾,はばへん
幅,49b,巾,はばへん
干,50,干,かん・いちじゅう
平,50,干,かん・いちじゅう
年,50,干,かん・いちじゅう
幸,50,干,かん・いちじゅう
幹,50,干,かん・いちじゅう
幻,51,幺,よう・いとがしら
幼,51,幺,よう・いとがしら
幽,51,幺,よう・いとがしら
幾,51,幺,よう・いとがしら
庁,52,广,まだれ
広,52,广,まだれ
床,52,广,まだれ
序,52,广,まだれ
底,52,广,まだれ
店,52,广,まだれ
府,52,广,まだれ
度,52,广,まだれ
座,52,广,まだれ
庫,52,广,まだれ
庭,52,广,まだれ
庶,52,广,まだれ
康,52,广,まだれ
庸,52,广,まだれ
廃,52,广,まだれ
廉,52,广,まだれ
廊,52,广,まだれ
延,53,廴,えんにょう・いんにょう
廷,53,廴,えんにょう・いんにょう
建,53,廴,えんにょう・いんにょう
弁,54b,廾,こまぬき・にじゅうあし
弄,54b,廾,こまぬき・にじゅうあし
弊,54b,廾,こまぬき・にじゅうあし
式,55,弋,しきがまえ
弐,55,弋,しきがまえ
弓,56a,弓,ゆみ
弔,56a,弓,ゆみ
弟,56a,弓,ゆみ
弱,56a,弓,ゆみ
引,56b,弓,ゆみへん
弥,56b,弓,ゆみへん
弦,56b,弓,ゆみへん
弧,56b,弓,ゆみへん
張,56b,弓,ゆみへん
強,56b,弓,ゆみへん
弾,56b,弓,ゆみへん
彙,57b,彑,けいがしら
形,58,彡,さんづくり
彩,58,彡,さんづくり
彫,58,彡,さんづくり
彰,58,彡,さんづくり
影,58,彡,さんづくり
役,59,彳,ぎょうにんべん
彼,59,彳,ぎょうにんべん
往,59,彳,ぎょうにんべん
征,59,彳,ぎょうにんべん
径,59,彳,ぎょうにんべん
待,59,彳,ぎょうにんべん
律,59,彳,ぎょうにんべん
後,59,彳,ぎょうにんべん
徐,59,彳,ぎょうにんべん
徒,59,彳,ぎょうにんべん
従,59,彳,ぎょうにんべん
得,59,彳,ぎょうにんべん
御,59,彳,ぎょうにんべん
復,59,彳,ぎょうにんべん
循,59,彳,ぎょうにんべん
微,59,彳,ぎょうにんべん
徳,59,彳,ぎょうにんべん
徴,59,彳,ぎょうにんべん
徹,59,彳,ぎょうにんべん
単,60,ツ,つかんむり
厳,60,ツ,つかんむり
営,60,ツ,つかんむり
巣,60,ツ,つかんむり
心,61a,心,こころ
必,61a,心,こころ
忌,61a,心,こころ
忍,61a,心,こころ
志,61a,心,こころ
忘,61a,心,こころ
応,61a,心,こころ
忠,61a,心,こころ
念,61a,心,こころ
怒,61a,心,こころ
思,61a,心,こころ
怠,61a,心,こころ
急,61a,心,こころ
怨,61a,心,こころ
恋,61a,心,こころ
恐,61a,心,こころ
恣,61a,心,こころ
恥,61a,心,こころ
恩,61a,心,こころ
息,61a,心,こころ
恵,61a,心,こころ
悠,61a,心,こころ
患,61a,心,こころ
悪,61a,心,こころ
悲,61a,心,こころ
惑,61a,心,こころ
想,61a,心,こころ
愁,61a,心,こころ
意,61a,心,こころ
愚,61a,心,こころ
愛,61a,心,こころ
感,61a,心,こころ
慈,61a,心,こころ
態,61a,心,こころ
慮,61a,心,こころ
慰,61a,心,こころ
慶,61a,心,こころ
憂,61a,心,こころ
憩,61a,心,こころ
憲,61a,心,こころ
懇,61a,心,こころ
懲,61a,心,こころ
懸,61a,心,こころ
忙,61b,忄,りっしんべん
快,61b,忄,りっしんべん
怖,61b,忄,りっしんべん
性,61b,忄,りっしんべん
怪,61b,忄,りっしんべん
恒,61b,忄,りっしんべん
恨,61b,忄,りっしんべん
悔,61b,忄,りっしんべん
悟,61b,忄,りっしんべん
悦,61b,忄,りっしんべん
悩,61b,忄,りっしんべん
悼,61b,忄,りっしんべん
情,61b,忄,りっしんべん
惜,61b,忄,りっしんべん
惧,61b,忄,りっしんべん
惨,61b,忄,りっしんべん
惰,61b,忄,りっしんべん
愉,61b,忄,りっしんべん
慄,61b,忄,りっしんべん
慌,61b,忄,りっしんべん
慎,61b,忄,りっしんべん
慢,61b,忄,りっしんべん
慣,61b,忄,りっしんべん
慨,61b,忄,りっしんべん
憎,61b,忄,りっしんべん
憤,61b,忄,りっしんべん
憧,61b,忄,りっしんべん
憬,61b,忄,りっしんべん
憶,61b,忄,りっしんべん
憾,61b,忄,りっしんべん
懐,61b,忄,りっしんべん
恭,61c,㣺,したごころ
慕,61c,㣺,したごころ
成,62,戈,ほこ・ほこづくり・ほこがまえ
我,62,戈,ほこ・ほこづくり・ほこがまえ
戒,62,戈,ほこ・ほこづくり・ほこがまえ
戚,62,戈,ほこ・ほこづくり・ほこがまえ
戦,62,戈,ほこ・ほこづくり・ほこがまえ
